type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Background,,0,0,1,0,5,Dark Grey,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Designer Added Icon 1,,504.256181,746.898319,4.1,-110,7,Black,7153,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Designer Added Icon 2,,301.048627,53.798214,0.7,0,10,,7115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Designer Added Icon 3,,212.703993,774.192309,2.6,0,12,,119,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Designer Added Icon 4,,26.190754,124.506472,9.699,-79,6,Black,6115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Right Lower Fork Cover,8831,Designer Added Icon 5,,-43.262957,469.926446,4.8,102,8,Dark Grey,8277,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Background,,0,0,1,0,6,Dark Grey,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Designer Added Icon 1,,-5.482181,792.795319,4.1,110,7,Black,7153,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Designer Added Icon 2,,192.073227,126.071899,0.7,0,10,,7115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Designer Added Icon 3,,322.087732,780.303486,1.7,0,12,,119,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Designer Added Icon 4,,472.583246,170.403472,9.699,79,6,Black,6115,,,,,,,,,,,,,,,1,,
CRF450R AUS & EU 2015-2016,,Left Lower Fork Cover,8832,Designer Added Icon 5,,534.500761,478.142468,4.8,-102,8,Dark Grey,8277,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Background,,0,0,1,0,5,Steel Blue,,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 1,,660.920986,1001.964923,1.6,125,12,Steel Blue,6117,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 2,,270.026894,1152.986613,1.1,86,18,,6102,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 3,,210.617984,262.261556,5.6,-45,21,Red,6117,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 4,,686.90452,264.643117,5.6,45,19,Red,6117,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 5,,747.888813,862.689615,6,90,6,White,6117,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 6,,451.180255,1160.541074,4.6,0,14,Sky Blue,8016,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 7,,619.667856,16.328353,1.2,-45,11,Sky Blue,6111,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 8,,110.816105,397.044199,9,-45,9,White,6115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 9,,847.758974,447.080389,9,45,8,White,6115,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 10,,209.780837,957.066844,1.6,-125,13,Steel Blue,6117,,,,,,,,,,,,,,,,,
CRF450R AUS & EU 2015-2016,,Front Fender,5031,Designer Added Icon 11,,158.527043,955.228571,6,-90,7,White,6117,,,,,,,,,,,,,,,,,
