type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 1,,181.888314,181.000448,2.241,57,11,Red,7995,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 2,,178.775175,787.129964,5.44,37,3,Lime Green,6115,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 3,,219.960357,521.695526,3.4,37,15,Red,7194,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 4,,98.409229,787.269419,3.4,37,8,Light Olive,8279,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 5,,313.52701,207.809807,3.6,37,10,Red,7487,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 6,,253.869788,54.507204,2.241,57,12,Red,7995,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 7,,292.772142,76.397439,2.241,-119,13,Red,7995,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 8,,321.278201,37.800141,2.241,-119,14,Red,7995,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 9,,357.192674,662.522946,2.541,-124,9,Black,7486,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Right Lower Fork Cover,149,Designer Added Icon 10,,398.930382,437.73746,2.541,-97,16,Red,7995,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 1,,298.853686,227.750448,2.241,-57,11,Red,7995,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 2,,301.966825,833.879964,5.44,-37,3,Lime Green,6115,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 3,,260.781643,568.445526,3.4,-37,15,Red,7194,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 4,,382.332771,834.019419,3.4,-37,8,Light Olive,8279,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 5,,167.21499,254.559807,3.6,-37,10,Red,7487,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 6,,226.872212,101.257204,2.241,-57,12,Red,7995,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 7,,187.969858,123.147439,2.241,119,13,Red,7995,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 8,,159.463799,84.550141,2.241,119,14,Red,7995,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 9,,123.549326,709.272946,2.541,124,9,Black,7486,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Left Lower Fork Cover,148,Designer Added Icon 10,,81.811619,484.48746,2.541,97,16,Red,7995,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Front Fender,373,Background,,0,0,1,0,2,Very Dark Ash Grey,,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 1,,772.037529,556.307613,6.2,-54,9,Dark Grey,7487,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 2,,487.161149,1211.759436,5.2,0,12,Dark Grey,8016,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 3,,151.887595,523.109558,6.2,54,15,Dark Grey,7487,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 4,,696.624067,1092.457617,0.4,-79,16,Dark Grey,7316,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 5,,280.17858,1096.049892,0.4,79,17,Dark Grey,7316,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 6,,818.351962,582.488098,1.9,108,18,Black,7316,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 7,,81.955837,533.575653,1.9,-108,19,Black,7316,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 8,,196.809913,417.080805,1.9,-135,20,Black,7316,,,,,,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 9,,769.750247,402.624582,1.9,135,21,Black,7316,,,,,,,,,,,,,,,1,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 10,,604.032224,1406.777355,1.4,-47,22,Lime Green,7424,Light Olive,,,,1,,,,,,,,,,,,
CRF450R US 2006-2007,,Front Fender,373,Designer Added Icon 11,,364.479438,1405.136583,2.1,47,23,Lime Green,7425,Light Olive,,,,1,,,,,,,,,,,,
