type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF450R US 2008,,Right Lower Fork Cover,149,Background,,0,0,1,0,2,Orange,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Lower Fork Cover,149,Designer Added Icon 1,,406.424992,627.581385,2.6,135,4,Black,8279,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Lower Fork Cover,149,Designer Added Icon 2,,258.476508,477.388529,4.5,90,8,,65,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Lower Fork Cover,149,Designer Added Icon 3,,271.40461,64.437604,0.8,0,5,,7115,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Lower Fork Cover,149,Designer Added Icon 4,,383.752345,164.872645,3.6,-135,3,Black,6115,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Lower Fork Cover,149,Designer Added Icon 5,,146.012047,367.16844,2.6,135,7,Black,8279,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Left Lower Fork Cover,148,Background,,0,0,1,0,3,Orange,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Left Lower Fork Cover,148,Designer Added Icon 1,,74.317008,655.159864,2.6,-135,5,Black,8279,,,,,,,,,,,,,,,1,,
CRF450R US 2008,,Left Lower Fork Cover,148,Designer Added Icon 2,,223.224068,504.967009,4.5,-90,10,,65,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Left Lower Fork Cover,148,Designer Added Icon 3,,96.989655,192.451125,3.6,135,4,Black,6115,,,,,,,,,,,,,,,1,,
CRF450R US 2008,,Left Lower Fork Cover,148,Designer Added Icon 4,,334.729953,394.746919,2.6,-135,9,Black,8279,,,,,,,,,,,,,,,1,,
CRF450R US 2008,,Front Fender,373,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 1,,903.926296,359.914258,1.2,56,16,Turquoise,7324,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 2,,487.299285,1358.951989,1.3,90,20,,6102,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 3,,785.6071,547.621687,3.4,-77,19,,296,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 4,,66.774134,366.618138,1.2,-56,17,Turquoise,7325,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 5,,166.045627,557.307855,3.4,77,18,,296,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 6,,238.333689,448.109063,5.4,-133,15,Black,7486,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 7,,820.346726,348.435543,5.4,133,14,Black,7486,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Fender,373,Designer Added Icon 8,,488.133431,981.790653,8.4,0,13,Orange,8456,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Upper Fork Cover,386,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Right Upper Fork Cover,386,Designer Added Icon 1,,193.1677,316.945076,4.1,90,11,,205,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Left Upper Fork Cover,386,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Left Upper Fork Cover,386,Designer Added Icon 1,,193.1677,316.945076,4.1,90,11,,205,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Corporate Logo,,436.706451,119.719979,0.7,0,18,,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,User Name,,598.161895,151.71834,,0,15,Black,,,,,,,,,,-9,left,79,Bold Italic 02,1,,,,
CRF450R US 2008,,Front Number Plate,388,User Number,,417.293928,284.893527,,0,23,Orange,,,,,,,,,,-16,left,434,Bold Italic 02,1,,,,
CRF450R US 2008,,Front Number Plate,388,User Flag,,730.642298,177.354362,0.3,0,13,,,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 1,,437.455414,393.653506,6.4,0,12,Black,8398,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 2,,6.591704,558.376062,3.3,51,20,Turquoise,6115,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 3,,808.797678,631.404963,3.3,-51,19,Turquoise,6115,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 4,,795.350986,45.464129,1.2,52,8,Black,7325,,,,,,,,,,,,,,,,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 5,,76.568164,44.345812,1.2,-52,7,Black,7325,,,,,,,,,,,,,,,1,,
CRF450R US 2008,,Front Number Plate,388,Designer Added Icon 6,,783.591649,420.223038,0.6,20,5,Black,7325,,,,,,,,,,,,,,,,,
