type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF450X 2005-2007,,Right Lower Fork Cover,414,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Lower Fork Cover,414,Designer Added Icon 1,,228.505704,439.613485,5.841,0,5,White,8437,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Lower Fork Cover,414,Designer Added Icon 2,,53.105232,580.329791,2.8,91,6,Dark Navy Blue,7194,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Lower Fork Cover,414,Designer Added Icon 3,,282.250974,72.23376,0.8,0,7,,7115,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Lower Fork Cover,413,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Lower Fork Cover,413,Designer Added Icon 1,,221.646296,481.361485,5.841,0,5,White,8437,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Left Lower Fork Cover,413,Designer Added Icon 2,,397.046768,622.077791,2.8,-91,6,Dark Navy Blue,7194,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 1,,50.741103,1086.974926,7.4,-59,3,White,7995,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 2,,658.324479,442.265922,1.6,-92,8,,6102,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 3,,50.334357,446.466566,1.6,94,9,,6102,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 4,,-9.085705,471.233975,6.5,-86,4,White,6117,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 5,,717.06867,483.640917,6.5,-92,6,White,6117,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Fender,404,Designer Added Icon 6,,635.664603,1091.78881,7.4,61,7,White,7995,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Front Number Plate,405,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Number Plate,405,Corporate Logo,,442.894698,57.032257,1,0,6,,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Front Number Plate,405,User Name,,413.89788000000004,421.08768299999997,,0,5,Black,,,,,,,,,,-10,left,103,Bold Italic 02,1,,,,
CRF450X 2005-2007,,Front Number Plate,405,User Number,,420.016657,184.48902,,0,4,White,,,,,,,,,,-6,left,427,Bold Italic 02,1,,,,
CRF450X 2005-2007,,Right Shroud,407,Background,,0,0,1,0,2,Dark Navy Blue,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 1,,912.28905,898.511853,7.8,168,9,White,7986,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 2,,1404.407124,542.720136,2.2,6,6,White,7427,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 3,,1612.302982,758.940494,8,134,7,White,6117,,,,,,,,,,,,,,,,1,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 4,,958.668407,438.285921,10.7,6,8,White,7425,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 5,,1111.117194,319.364492,5.2,56,3,Honda Red,8279,,,,,,,,,,,,,,,1,1,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 6,,480.616975,705.642494,5.2,56,4,Honda Red,8279,,,,,,,,,,,,,,,1,1,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 7,,1482.152053,730.832637,7.2,-34,5,Honda Red,7485,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 8,,986.020336,156.442133,0.8,30,10,White,7261,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 9,,1114.45548,231.362634,0.9,30,11,White,74,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Shroud,407,Designer Added Icon 10,,1255.97198,313.41842,1,30,12,White,132,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Background,,0,0,1,0,2,Dark Navy Blue,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 1,,463.008829,294.166716,1,-29,11,White,132,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 2,,746.249642,900.774125,7.4,13,10,White,7986,,,,,,,,,,,,,,,1,1,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 3,,606.014377,215.506527,0.9,-29,17,White,74,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 4,,733.011282,150.185969,0.8,-29,9,White,7261,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 5,,1203.75284,448.303531,2.2,-6,6,White,7427,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 6,,69.432531,741.999079,8,-134,7,White,6117,,,,,,,,,,,,,,,1,1,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 7,,733.679593,438.282921,10.7,-6,8,White,7425,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 8,,581.230806,319.361492,5.2,-56,3,Honda Red,8279,,,,,,,,,,,,,,,,1,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 9,,1211.731025,705.639494,5.2,-56,4,Honda Red,8279,,,,,,,,,,,,,,,,1,
CRF450X 2005-2007,,Left Shroud,406,Designer Added Icon 10,,210.195947,730.829637,7.2,34,5,Honda Red,7485,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Right Frame,8862,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Frame,8862,Designer Added Icon 1,,172.080979,391.709812,3,149,4,Dark Navy Blue,7153,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Frame,8862,Designer Added Icon 2,,485.034803,98.970709,1,-13,5,White,246,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Frame,8862,Designer Added Icon 3,,413.16024,215.766873,1.4,-13,6,White,69,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Frame,8862,Designer Added Icon 4,,320.322264,331.06565,1,-13,7,,264,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Frame,8863,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Frame,8863,Designer Added Icon 1,,373.223021,391.709812,3,-149,4,Dark Navy Blue,7153,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Left Frame,8863,Designer Added Icon 2,,114.041498,106.416104,1,13,5,White,246,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Frame,8863,Designer Added Icon 3,,190.879658,223.212268,1.4,13,6,White,69,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Frame,8863,Designer Added Icon 4,,256.417851,335.201981,1,13,7,,264,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Side Plate,6495,Background,,0,0,1,0,2,Dark Navy Blue,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Side Plate,6495,User Number,,562.179448,326.955521,,23,5,White,,,,,,,,,,-6,left,590,Bold Italic 02,1,,,,
CRF450X 2005-2007,,Right Side Plate,6495,Designer Added Icon 1,,604.351985,749.738987,6.2,23,4,White,6117,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Side Plate,6495,Designer Added Icon 2,,1177.22752,133.915006,7.8,-20,11,White,7995,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Right Side Plate,6495,Designer Added Icon 3,,1295.343807,170.864233,1.7,12,12,,205,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Side Plate,6495,Designer Added Icon 4,,1439.904582,295.555315,1.8,40,3,White,7485,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Left Side Plate,6498,Background,,0,0,1,0,1,Dark Navy Blue,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Side Plate,6498,User Number,,931.690928,314.233221,,-23,4,White,,,,,,,,,,-6,left,590,Bold Italic 02,1,,,,
CRF450X 2005-2007,,Left Side Plate,6498,Designer Added Icon 1,,904.197969,731.144856,6.2,-23,3,White,6117,,,,,,,,,,,,,,,1,,
CRF450X 2005-2007,,Left Side Plate,6498,Designer Added Icon 2,,163.487262,230.243749,1.7,-12,18,,205,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Side Plate,6498,Designer Added Icon 3,,117.577296,333.722216,1.8,-43,2,White,7485,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Right Air Box,411,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Left Air Box,410,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Rear Fender,412,Background,,0,0,1,0,2,Dark Navy Blue,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Rear Fender,412,Corporate Logo,,432.060432,159.866074,1.6,0,8,,,,,,,,,,,,,,,,,,,
CRF450X 2005-2007,,Rear Fender,412,User Number,,428.283179,1015.946933,,0,10,White,,,,,,,,,,-7,left,130,Bold Italic 02,1,,,,
CRF450X 2005-2007,,Rear Fender,412,Designer Added Icon 1,,801.760663,279.221832,5.9,78,14,Honda Red,8310,,,,,,,,,,,,,,,1,1,
CRF450X 2005-2007,,Rear Fender,412,Designer Added Icon 2,,65.10796,277.972301,5.9,-78,15,Honda Red,8310,,,,,,,,,,,,,,,,1,
