type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
CRF50F 2013-2018,,Right Lower Fork Cover,241,Background,,0,0,1,0,2,Cyan,,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Right Lower Fork Cover,241,Designer Added Icon 1,,99.639853,325.894327,1.6,90,9,,205,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Right Lower Fork Cover,241,Designer Added Icon 2,,200.550641,200.249479,2,90,11,,122,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Right Lower Fork Cover,241,Designer Added Icon 3,,177.923712,180.531552,4.1,0,3,Dark Navy Blue,8895,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Right Lower Fork Cover,241,Designer Added Icon 4,,153.243842,204.664781,3,0,8,White,8896,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Left Lower Fork Cover,242,Background,,0,0,1,0,4,Cyan,,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Left Lower Fork Cover,242,Designer Added Icon 1,,156.758147,325.894327,1.6,-90,9,,205,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Left Lower Fork Cover,242,Designer Added Icon 2,,55.847359,200.249479,2,-90,11,,122,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Left Lower Fork Cover,242,Designer Added Icon 3,,78.474288,180.531552,4.1,0,3,Dark Navy Blue,8895,,,,,,,,,,,,,,,1,,
CRF50F 2013-2018,,Left Lower Fork Cover,242,Designer Added Icon 4,,103.154158,204.664781,3,0,8,White,8896,,,,,,,,,,,,,,,1,,
CRF50F 2013-2018,,Front Fender,239,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Fender,239,Designer Added Icon 1,,315.733442,444.824947,1.5,-60,13,Dark Navy Blue,6554,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Fender,239,Designer Added Icon 2,,73.642435,329.604205,1.5,60,14,Dark Navy Blue,6554,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Fender,239,Designer Added Icon 3,,205.615394,653.713893,0.4,0,12,,7115,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Fender,239,Designer Added Icon 4,,203.476552,372.185065,5.396,180,9,White,8313,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Number Plate,11770,Background,,0,0,1,0,1,Cyan,,,,,,,,,,,,,,,,,,
CRF50F 2013-2018,,Front Number Plate,11770,User Number,,265.6832033,167.5091237,,0,10,Dark Navy Blue,,White,,,,10,,,,-18,left,276,Bold Italic 02,1,,,,
CRF50F 2013-2018,,Front Number Plate,11770,Designer Added Icon 1,,277.272438,271.4500162,5.1,0,3,White,8732,,,,,,,,,,,,,,,,,
