type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KLX110 2013-2018,,Front Fender,747,Background,,0,0,1,0,1,Kawasaki Green,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Front Number Plate,748,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Front Number Plate,748,User Name,,429.4881668,95.51471301,,0,4,Kawasaki Green,,,,,,,,,,-10,left,97,Bold Italic 03,1,,,,
KLX110 2013-2018,,Front Number Plate,748,User Number,,353.5549624,255.7426879,,0,6,Black,,,,,,,,,,-15,left,297,Bold Italic 02,1,,,,
KLX110 2013-2018,,Front Number Plate,748,User Flag,,597.8229871,127.6238843,0.5,0,3,,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Shroud,750,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Side Plate,752,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Side Plate,752,User Name,,868.7951238,204.07071,,15,5,Kawasaki Green,,,,,,,,,,-9,left,115,Bold Italic 03,1,,,,
KLX110 2013-2018,,Right Side Plate,752,User Number,,436.2965586,298.5304303,,14,7,Black,,,,,,,,,,-15,left,250,Bold Italic 02,1,,,,
KLX110 2013-2018,,Right Side Plate,752,User Flag,,1053.526303,293.0589975,0.6,15,6,,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Side Plate,751,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Rear Fender,753,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Rear Fender,753,User Flag,,348.130371,264.8411483,0.6,0,13,,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Swing Arm,754,Background,,0,0,1,0,2,Aluminium,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Swing Arm,754,Background,,0,0,1,0,2,Aluminium,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Side Plate,752,Designer Added Icon 1,,786.1152197,757.3650684,14.8,-9,3,Kawasaki Green,8908,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Side Plate,752,Designer Added Icon 2,,245.0316707,145.9839107,17.31234806,-9,2,Light Olive,8907,Light Olive,,,,1,,,,,,,,,,,,
KLX110 2013-2018,,Right Side Plate,752,Designer Added Icon 3,,813.9381898,5.40285406,8.1,19,4,Black,7485,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Side Plate,751,User Name,,397.9138762,197.170733,,-15,5,Kawasaki Green,,,,,,,,,,-9,left,115,Bold Italic 03,1,,,,
KLX110 2013-2018,,Left Side Plate,751,User Number,,830.4124414,281.2804877,,-14,7,Black,,,,,,,,,,-15,left,250,Bold Italic 02,1,,,,
KLX110 2013-2018,,Left Side Plate,751,User Flag,,213.1826971,285.4690228,0.6,-15,6,,,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Side Plate,751,Designer Added Icon 1,,480.5937803,740.1151259,14.8,9,3,Kawasaki Green,8908,,,,,,,,,,,,,,,1,,
KLX110 2013-2018,,Left Side Plate,751,Designer Added Icon 2,,1013.623312,133.8593192,17.31234806,9,2,Light Olive,8907,Light Olive,,,,1,,,,,,,,,,1,,
KLX110 2013-2018,,Left Side Plate,751,Designer Added Icon 3,,452.0808125,-2.87711836,8.1,-19,4,Black,7485,,,,,,,,,,,,,,,1,,
KLX110 2013-2018,,Rear Fender,753,Designer Added Icon 1,,92.46440327,441.90458,6.845124883,-96,12,Kawasaki Green,7487,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Rear Fender,753,Designer Added Icon 2,,347.4099831,584.5527053,6.8,0,2,Light Olive,8427,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Rear Fender,753,Designer Added Icon 3,,597.3207041,477.465787,6.8,96,14,Kawasaki Green,7487,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Designer Added Icon 1,,934.14154,652.9093966,18.01260695,-3,3,Light Olive,8908,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Designer Added Icon 2,,830.8495382,77.57294635,8,16,2,Kawasaki Green,6115,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Designer Added Icon 3,,1008.511781,558.9136749,2.1,15,4,,7565,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Designer Added Icon 4,,638.7264148,241.8072293,3.2,15,5,White,2228,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Right Shroud,749,Designer Added Icon 5,,788.4998174,792.3535991,5.9,140,6,Light Charcoal,7985,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Shroud,750,Designer Added Icon 1,,446.81146,652.9093966,18.01260695,3,3,Light Olive,8908,,,,,,,,,,,,,,,1,,
KLX110 2013-2018,,Left Shroud,750,Designer Added Icon 2,,550.1034618,77.57294635,8,-16,2,Kawasaki Green,6115,,,,,,,,,,,,,,,1,,
KLX110 2013-2018,,Left Shroud,750,Designer Added Icon 3,,372.4412187,558.9136749,2.1,-15,4,,7565,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Shroud,750,Designer Added Icon 4,,742.2265852,241.8072293,3.2,-15,5,White,2228,,,,,,,,,,,,,,,,,
KLX110 2013-2018,,Left Shroud,750,Designer Added Icon 5,,592.4531826,792.3535991,5.9,-140,6,Light Charcoal,7985,,,,,,,,,,,,,,,1,,
