type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KX250 2007-2009,,Right Lower Fork Cover,2425,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Lower Fork Cover,2425,Designer Added Icon 1,,127.024,524.961789,3.3,90,11,,65,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Lower Fork Cover,2425,Designer Added Icon 2,,249.700592,185.114949,0.7,0,12,,7115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Lower Fork Cover,2425,Designer Added Icon 3,,383.134411,617.511514,5,0,10,White,8463,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Lower Fork Cover,2423,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Lower Fork Cover,2423,Designer Added Icon 1,,262.225412,440.016504,3.3,-90,11,,65,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Lower Fork Cover,2423,Designer Added Icon 2,,125.186456,185.021709,0.7,0,12,,7115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Lower Fork Cover,2423,Designer Added Icon 3,,46.458968,574.381741,5,0,10,White,8463,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Front Fender,3504,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Target Logo,,185.315488,316.128881,2.3,60,14,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 1,,362.41131699999994,1099.2673549387805,0.9,86,21,,6102,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 2,,726.029605,1108.895159,0.9,-86,22,,6102,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 3,,546.353579,1002.655842,6.043,0,6,Blue,8464,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 4,,545.433264,1118.822171,4.7,0,19,Dark Grey,8016,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 5,,136.780524,276.339457,1.9,68,12,Blue,7153,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 6,,940.311424,311.328716,1.9,-68,13,Blue,7152,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Fender,3504,Designer Added Icon 7,,891.350272,353.947966,2.3,-58,20,,7461,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Upper Fork Cover,856,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Upper Fork Cover,856,Designer Added Icon 1,,132.181709,264.491482,4.3,-119,2,Dark Grey,8277,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Right Upper Fork Cover,856,Designer Added Icon 2,,191.49337100000002,47.73274,0.7,0,7,,7115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Upper Fork Cover,856,Designer Added Icon 3,,196.96758,361.011569,3.1,90,3,,205,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Upper Fork Cover,856,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Upper Fork Cover,856,Designer Added Icon 1,,195.701147,362.615015,3.1,-90,3,,205,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Upper Fork Cover,856,Designer Added Icon 2,,258.035766,266.89665,4.3,119,2,Dark Grey,8277,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Upper Fork Cover,856,Designer Added Icon 3,,193.91376800000003,42.922403,0.7,0,7,,7115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Corporate Logo,,232.11685000000003,173.709719,0.9,0,26,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,User Name,,553.5863589999999,150.394883,,0,28,White,,Red,,,,10,,,,-6,left,70,Bold Italic 02,1,,,,
KX250 2007-2009,,Front Number Plate,844,User Number,,410.88726,260.970396,,0,29,Orange,,,,,,,,,,-9,left,339,Bold Italic 02,1,,,,
KX250 2007-2009,,Front Number Plate,844,User Flag,,676.4095829999999,172.94017,0.3,0,27,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 1,,424.854368,643.936127,1.6,0,25,,2450,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 2,,101.983599,716.73879,6.4,36,3,Dark Grey,6115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 3,,768.566986,688.410822,6.4,-36,4,Dark Grey,6115,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 4,,167.430497,44.400737,2.9,5,5,Dark Grey,7487,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 5,,415.210379,395.203458,6.5,0,6,Blue,8465,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Front Number Plate,844,Designer Added Icon 6,,650.195022,46.021324,2.9,-5,2,Dark Grey,7487,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 1,,772.421776,499.464332,11.57,0,5,Blue,8468,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 2,,1279.792784,455.617455,3,22,6,,224,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 3,,753.630257,730.182425,11.9,29,3,Dark Grey,7487,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 4,,958.413526,117.534624,1.957,-151,4,Black,8277,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 5,,1235.23095,230.448245,6.2,29,2,Dark Grey,7485,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 6,,1328.859528,584.026167,1.7,22,7,,6584,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 7,,1182.70327,791.7768469999999,1.2,22,9,,4,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Shroud,846,Designer Added Icon 8,,1270.397025,685.291574,1.3,22,8,,1,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 1,,798.295224,499.464332,11.57,0,5,Blue,8468,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 2,,290.924216,455.617455,3,-22,6,,224,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 3,,817.086743,730.182425,11.9,-29,3,Dark Grey,7487,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 4,,612.303474,117.534624,1.957,151,4,Black,8277,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 5,,335.48605,230.448245,6.2,-29,2,Dark Grey,7485,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 6,,238.724367,581.93743,1.7,-22,7,,6584,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 7,,388.01373,791.7768469999999,1.2,-22,9,,4,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Shroud,845,Designer Added Icon 8,,300.319975,685.291574,1.3,-22,8,,1,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Side Plate,8152,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Side Plate,8152,User Number,,522.159,483.988117,,24,28,Orange,,,,,,,,,,-9,left,470,Bold Italic 02,1,,,,
KX250 2007-2009,,Right Side Plate,8152,Target Logo,,924.228733,403.37222,1.8,23,27,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Side Plate,8152,Designer Added Icon 1,,855.199249,500.618304,3.7,102,2,Dark Grey,7325,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Side Plate,8152,Designer Added Icon 2,,803.03807,913.058491,4.9,2,4,Dark Grey,7486,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Right Side Plate,8152,Designer Added Icon 3,,761.164273,208.190144,10,4,3,Blue,8470,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Side Plate,8152,Designer Added Icon 4,,1056.831652,370.75353899999993,4.6,21,26,,6746,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Side Plate,8153,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Side Plate,8153,User Number,,968.3024713265856,472.7214168380567,,-24,28,Orange,,,,,,,,,,-9,left,470,Bold Italic 02,1,,,,
KX250 2007-2009,,Left Side Plate,8153,Target Logo,,628.02571,387.46024000000006,1.8,-21,27,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Side Plate,8153,Designer Added Icon 1,,617.500295,526.472646,3.9,-102,2,Dark Grey,7325,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Left Side Plate,8153,Designer Added Icon 2,,478.729715,915.046364,4.9,-2,4,Dark Grey,7486,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Side Plate,8153,Designer Added Icon 3,,695.624291,233.05005,10,-4,3,Blue,8470,,,,,,,,,,,,,,,1,,
KX250 2007-2009,,Left Side Plate,8153,Designer Added Icon 4,,450.64420171390015,373.18414630634277,4.6,-21,26,,6746,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Right Air Box,850,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Left Air Box,849,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Corporate Logo,,421.864673,193.464949,1,0,19,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,User Number,,417.122438,239.05459800000003,,0,21,Orange,,,,,,,,,,-18,left,99,Bold Italic 02,1,,,,
KX250 2007-2009,,Rear Fender,851,User Flag,,420.04623100000003,975.5758449999998,0.7,0,20,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Target Logo,,428.312354,533.003217,1.9,-88,18,,,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 1,,276.528601,407.859374,5.7,-76,4,Dark Grey,7486,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 2,,589.978096,485.906346,5.7,76,5,Dark Grey,7486,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 3,,334.288486,681.523773,1.5,9,2,Dark Grey,7324,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 4,,510.825475,683.989188,1.5,-9,3,Dark Grey,7325,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 5,,196.32985000000002,466.634452,2,78,15,,224,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 6,,647.6787600000001,459.752944,2,-78,14,,224,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 7,,532.919595,142.851225,1.3,122,12,Black,7318,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 8,,198.078053,782.00429,7.2,-98,6,Dark Grey,6117,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 9,,669.759985,627.726893,7.2,98,7,Dark Grey,6117,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 10,,714.3182619999998,156.82642199999998,1.9,-78,16,,65,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 11,,140.72570200000004,167.890339,1.9,78,17,,65,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 12,,244.774414,781.501882,1,54,11,Black,7316,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 13,,599.986170805668,782.9784249999999,1,-54,10,Black,7318,,,,,,,,,,,,,,,,,
KX250 2007-2009,,Rear Fender,851,Designer Added Icon 14,,309.073254,127.913019,1.3,-122,9,Black,7316,,,,,,,,,,,,,,,,,
