type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KX250F 2015,,Right Lower Fork Cover,919,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 1,,84.808673,688.808379,6.24,37,2,Orange,7483,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 2,,183.200188,489.825268,4,90,7,White,149,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 3,,286.51592100000005,462.451014,2.4,122,6,Orange,8027,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 4,,349.211794,463.334054,2.1,-107,3,Orange,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 5,,329.474973,599.012354,2.1,-108,4,Black,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Lower Fork Cover,919,Designer Added Icon 6,,59.574524,545.456817,2.6,90,5,Black,6732,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Lower Fork Cover,918,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 1,,302.386327,708.808379,6.24,-37,2,Orange,7483,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 2,,246.967189,486.967621,4,-90,7,White,149,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 3,,121.70811400000001,472.393649,2.4,-122,6,Orange,8027,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 4,,69.06960599999998,464.133631,2.1,107,3,Orange,7995,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 5,,107.092544,579.697201,2.1,108,4,Black,7995,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Lower Fork Cover,918,Designer Added Icon 6,,372.421464,557.228064,2.6,-90,5,Black,6732,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Background,,0,0,1,0,5,Racing Blue,,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 1,,556.766347,335.651467,6.5,0,6,Black,8046,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 2,,559.440119,1108.898741,5.3,0,10,Black,8016,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 3,,683.017234,1384.97166,2,-36,12,Black,7487,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 4,,441.312639,1394.067302,2,36,13,Black,7487,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 5,,969.646076,297.651378,4.2,31,14,Black,8040,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 6,,139.357093,289.862551,4.2,-31,15,Black,8041,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 7,,558.395998,537.547257,1,0,16,,7115,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 8,,206.341007,772.769839,1.8,-104,17,Orange,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 9,,908.893224,779.000901,1.8,104,18,Orange,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 10,,553.722702,979.952644,4.2,90,20,,7459,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Fender,3578,Designer Added Icon 11,,-36.759987,835.69552,3,-152,22,White,7996,,,,,,,,,,,,,,,,,
KX250F 2015,X,Front Fender,3578,Designer Added Icon 12,,,,,,,,,,,,,,,,,,,,,,,,,
KX250F 2015,X,Front Fender,3578,Designer Added Icon 13,,,,,,,,,,,,,,,,,,,,,,,,,
KX250F 2015,X,Front Fender,3578,Designer Added Icon 14,,,,,,,,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 1,,154.307072,89.317766,4.8,37,4,Racing Blue,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 2,,254.877754,213.370657,4.5,-33,5,Aluminium,7492,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 3,,226.190303,293.21002,2.8,-43,8,Racing Blue,8027,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 4,,2.676566,220.124575,1.3,-121,9,Racing Blue,7518,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 5,,31.76883,317.335312,1.6,-170,10,Racing Blue,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 6,,227.031982,357.2032,0.6,10,11,Black,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 7,,148.137887,272.632564,3.4,90,14,,562,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 8,,148.137887,566.393476,1.4,0,12,,6102,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Upper Fork Cover,8903,Designer Added Icon 9,,42.412341,181.098367,0.6,-63,13,Black,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 1,,162.953993,70.291558,4.8,-37,4,Racing Blue,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 2,,33.624831,214.921904,4.5,33,5,Aluminium,7491,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 3,,65.250611,296.180401,2.8,44,8,Racing Blue,8026,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 4,,293.021752,203.936637,1.3,-59,9,Racing Blue,7518,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 5,,262.510353,301.856941,1.6,170,10,Racing Blue,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 6,,65.382723,356.625744,0.6,-10,11,Black,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 7,,146.850864,270.635974,3.4,90,17,,562,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 8,,140.464757,566.525588,1.4,0,12,,6102,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Upper Fork Cover,8903,Designer Added Icon 9,,241.091219,183.936637,0.6,63,13,Black,7324,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Corporate Logo,,403.25564,-5.238574,1.5,0,9,,,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,User Name,,221.584605,150.77855,,0,11,Black,,,,,,,,,,-11,left,74,Bold Italic 02,1,,,,
KX250F 2015,,Front Number Plate,5128,User Number,,379.663437,281.920607,,0,6,Black,,Orange,,,,10,,,,-19,left,395,Bold Italic 02,1,,,,
KX250F 2015,,Front Number Plate,5128,User Flag,,337.375372,175.840375,0.3,0,7,,,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 1,,682.802229,668.772681,4.5,-18,5,Racing Blue,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 2,,100.720806,666.806272,4.5,18,4,Racing Blue,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 3,,398.368213,1459.687687,11.9,180,12,Black,8035,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 4,,690.231905,584.096611,3,42,13,Black,8041,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 5,,111.876245,584.096611,3,-42,14,Black,8040,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 6,,722.462251,664.672477,1.6,-40,15,Black,7486,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 7,,87.111875,672.138453,1.6,40,16,Black,7486,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 8,,809.305129,457.861087,1.6,174,18,Black,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 9,,-5.406405,460.546949,1.6,-174,19,Black,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Front Number Plate,5128,Designer Added Icon 10,,395.68235,690.635811,0.8,0,20,,7400,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Radiator Cooling Fins,8880,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Radiator Cooling Fins,8880,Designer Added Icon 1,,265.4561847628131,354.8723271367502,3.7000000000000006,0,6,White,6732,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Radiator Cooling Fins,8880,Designer Added Icon 2,,540.163355,188.20701,7.6,39,3,Racing Blue,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Radiator Cooling Fins,8880,Designer Added Icon 3,,467.963092,494.198597,0.7,-126,4,Black,7080,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Radiator Cooling Fins,8880,Designer Added Icon 4,,114.355387,180.702148,0.7,59,5,Racing Blue,7080,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Radiator Cooling Fins,8881,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 1,,594.673806,1257.897059,13.5,16,4,Orange,7483,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 2,,1426.322682,2.972696,9,16,5,Racing Blue,7483,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 3,,1449.547574,18.863411,1,0,6,Purple,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 4,,1629.234901,449.135105,2.3,2,7,Racing Blue,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 5,,1589.339125,520.474341,3.5,-24,8,Racing Blue,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 6,,1004.269557,549.03088,7.2,156,9,Orange,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 7,,340.968771,534.804723,4.2,-24,10,Orange,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 8,,1422.759818,439.460427,3.6,156,11,Black,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 9,,1553.552634,958.964602,1.4,83,12,Black,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 10,,1393.423112,465.130045,3.2,3,16,,6746,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 11,,1411.758553,847.72959,2,3,14,,58,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 12,,1085.387695,53.193793,0.8,16,15,,164,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 13,,1500.991035,720.603863,1.4,3,17,Orange,398,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 14,,215.065407,600.812312,0.8,-92,18,White,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Shroud,5123,Designer Added Icon 15,,734.569581,215.768041,1.7,51,19,Racing Blue,7995,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 1,,1265.206541,1275.248365,13.5,-16,4,Orange,7483,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 2,,409.701416,12.371918,9,-16,5,Racing Blue,7483,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 3,,409.007426,38.865411,1,0,6,Purple,7995,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 4,,123.292324,487.691965,2.3,-2,7,Racing Blue,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 5,,196.321779,544.452382,3.5,24,8,Racing Blue,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 6,,852.960096,558.430103,7.2,-156,9,Orange,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 7,,1615.661921,532.27582,4.2,24,10,Orange,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 8,,362.901086,458.13708,3.6,-156,11,Black,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 9,,305.002366,978.966602,1.4,-83,12,Black,7325,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 10,,382.960362,491.758781,3.2,-3,16,,6746,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 11,,465.351308,862.430202,2,-3,14,,58,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 12,,709.55064,59.942321,0.8,-16,15,,164,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 13,,390.697645,747.232599,1.4,-3,17,Orange,398,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 14,,1643.489594,620.814312,0.8,92,18,White,7325,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Shroud,5124,Designer Added Icon 15,,1145.190974,206.612403,1.7,-51,19,Racing Blue,7995,,,,,,,,,,,,,,,1,,
KX250F 2015,,Right Tank,10720,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Tank,10722,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Background,,0,0,1,0,4,Aluminium,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 1,,173.384002,261.18701,3.6,6,5,Orange,7483,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 2,,402.695669,58.182056,4.2,16,6,Black,7483,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 3,,291.733122,181.47252,1.5,16,7,Orange,132,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 4,,250.164216,236.734712,0.6,87,8,Black,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 5,,345.039131,19.59831,1.4,96,9,Orange,6113,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Frame,8905,Designer Added Icon 6,,168.004496,355.083832,1,-112,10,Aluminium,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Frame,8906,Background,,0,0,1,0,4,Aluminium,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 1,,517.186184,257.223811,3.6,-6,5,Orange,7483,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 2,,235.057671,59.598351,4.2,-16,6,Black,7483,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 3,,360.202519,179.954545,1.5,-16,7,Orange,132,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 4,,394.435752,236.683872,0.6,-87,8,Black,7325,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 5,,310.808869,17.102245,1.4,-96,9,Orange,6113,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Frame,8906,Designer Added Icon 6,,472.683113,353.565858,1,112,10,Aluminium,7325,,,,,,,,,,,,,,,1,,
KX250F 2015,,Right Side Plate,8911,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,User Number,,513.634849,349.103656,,26,10,Black,,Orange,,,,10,,,,-19,left,515,Bold Italic 02,1,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 1,,803.775153,-122.107791,11.5,19,9,Orange,6115,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 2,,972.676312,405.285919,5.9,-66,8,Orange,8041,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 3,,1436.245445,806.588263,6.3,7,7,Orange,7996,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 4,,1226.32747,365.779471,1.2,91,16,Black,7325,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 5,,1248.585105,517.567404,1.3,9,18,,17,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 6,,1220.765014,399.048059,2,9,19,White,76,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 7,,1248.866096,300.281938,1.4,9,20,Racing Blue,132,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 8,,1017.996033,856.491145,6.9,100,6,Black,8041,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 9,,138.142814,99.630766,3.4,30,5,Black,7082,,,,,,,,,,,,,,,,,
KX250F 2015,,Right Side Plate,8911,Designer Added Icon 10,,1315.517231,369.938044,5.4,19,4,Black,7485,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Side Plate,8912,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Side Plate,8912,User Number,,871.782433,406.45182,,-26,10,Black,,Orange,,,,10,,,,-19,left,515,Bold Italic 02,1,,,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 1,,690.170811,-116.11695,11.5,-19,9,Orange,6115,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 2,,527.083688,407.400737,5.9,66,8,Orange,8041,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 3,,67.390579,813.54811,6.3,-7,7,Orange,7996,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 4,,280.215573,369.8323,1.3,-89,16,Black,7325,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 5,,238.577816,496.426075,1.3,-13,18,,17,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 6,,262.521883,385.658779,2,-13,19,White,76,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 7,,236.358813,294.644707,1.4,-13,20,Racing Blue,132,,,,,,,,,,,,,,,,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 8,,342.227091,827.597767,6.9,-102,6,Black,8041,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 9,,1396.501405,99.807572,3.4,-30,5,Black,7082,,,,,,,,,,,,,,,1,,
KX250F 2015,,Left Side Plate,8912,Designer Added Icon 10,,180.366745,392.40199,5.4,-19,4,Black,7485,,,,,,,,,,,,,,,1,,
KX250F 2015,,Right Air Box,10723,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
