type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KX450F 2013-2014,,Right Lower Fork Cover,919,Background,,0,0,1,0,2,Orange,,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Right Lower Fork Cover,919,Designer Added Icon 1,,123.764923,472.636322,4.1,89,9,,65,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Right Lower Fork Cover,919,Designer Added Icon 2,,226.46917,499.538713,4.2,-15,8,Marigold,8278,,,,,,,,,,,,,,,,1,
KX450F 2013-2014,,Left Lower Fork Cover,918,Background,,0,0,1,0,2,Orange,,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Left Lower Fork Cover,918,Designer Added Icon 1,,298.0353,464.618795,4.4,-90,9,,65,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Left Lower Fork Cover,918,Designer Added Icon 2,,194.555147,513.253301,4.2,15,8,Marigold,8278,,,,,,,,,,,,,,,1,1,
KX450F 2013-2014,,Front Fender,3578,Background,,0,0,1,0,2,Dark Cyan,,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 1,,478.878075,1200.21129,2.7,-63,17,Light Violet,8278,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 2,,557.882354,1051.261419,6.2,0,15,Hot Pink,6113,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 3,,270.20939,1115.478238,4.3,26,12,Light Violet,8019,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 4,,845.02484,1115.478238,4.3,-26,11,Light Violet,8020,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 5,,556.073638,1766.024809,6.2,135,19,White,6114,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 6,,631.288138,1192.171512,2.7,63,18,Light Violet,8278,,,,,,,,,,,,,,,1,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 7,,111.317315,436.292503,2.5,86,10,Mid Blue,7153,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 8,,1000.801385,433.176972,2.5,-86,9,Mid Blue,7152,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 9,,675.228407,895.83331,3.05,48,8,Dark Turquoise,7497,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 10,,438.197108,895.582359,3.05,-48,7,Dark Turquoise,7497,,,,,,,,,,,,,,,,,
KX450F 2013-2014,,Front Fender,3578,Designer Added Icon 11,,405.233083,864.176099,3.05,-48,6,Dark Cyan,7497,,,,,,,,,,,,,,,,,
