type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"KX85 2001-2009,2011-2012",,Right Lower Fork Cover,3481,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Lower Fork Cover,3481,Designer Added Icon 1,,162.998864,456.799392,4.757,-90,7,Red,7185,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Lower Fork Cover,3481,Designer Added Icon 2,,197.96392,867.375036,3.2,-42,6,White,6115,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Lower Fork Cover,3481,Designer Added Icon 3,,139.346032,518.431056,2,-90,8,,6644,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Lower Fork Cover,3480,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Lower Fork Cover,3480,Designer Added Icon 1,,162.967798,456.751008,4.757,-90,7,Red,7185,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Lower Fork Cover,3480,Designer Added Icon 2,,197.92619,867.283164,3.2,-42,6,White,6115,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Lower Fork Cover,3480,Designer Added Icon 3,,139.319474,518.376144,2,-90,8,,6644,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Corporate Logo,,514.78593,842.2892629999999,1.6,90,7,,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Target Logo,,514.78593,993.736596,1,0,5,,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Designer Added Icon 1,,514.8475123143172,760.9265784284137,8.679,0,2,Steel Blue,8464,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Designer Added Icon 2,,268.349623,406.641384,6.032,64,3,Black,6117,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Fender,480,Designer Added Icon 3,,764.726736,396.942063,6.032,-64,4,Black,6117,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Upper Fork Cover,808,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Upper Fork Cover,808,Designer Added Icon 1,,107.99978399999999,30.60236400000001,0.5,0,10,,7115,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Upper Fork Cover,808,Designer Added Icon 2,,106.176788,272.033957,1.8,90,2,,501,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Upper Fork Cover,808,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Upper Fork Cover,808,Designer Added Icon 1,,107.99978399999999,30.60236400000001,0.5,0,10,,7115,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Left Upper Fork Cover,808,Designer Added Icon 2,,110.459613,272.033957,1.8,-90,2,,501,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,Background,,0,0,1,0,3,Dark Yellow,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,Corporate Logo,,373.316741,53.907931,1.2,0,10,,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,User Number,,373.430978,257.707842,,0,12,Red,,,,,,,,,,-15,left,339,Bold Italic 02,1,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,Designer Added Icon 1,,375.620909,345.972228,5.4,0,4,Black,8465,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,Designer Added Icon 2,,636.6344339999999,569.963916,4.1,-24,8,Steel Blue,7486,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Front Number Plate,2359,Designer Added Icon 3,,183.69195724266964,600.093296,4.1,24,9,Steel Blue,7486,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Shroud,8606,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Shroud,8606,Designer Added Icon 1,,707.543741,1008.194791,11.983,5,2,Steel Blue,7487,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Shroud,8606,Designer Added Icon 2,,795.053144,176.855466,8.703,3,5,Steel Blue,6115,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Shroud,8606,Designer Added Icon 3,,1045.999224,902.668746,1.4,-19,6,Black,7316,,,,,,,,,,,,,,,,,
"KX85 2001-2009,2011-2012",,Right Shroud,8606,Designer Added Icon 4,,1045.408777,926.5294549999999,1.2,-16,7,Black,7316,,,,,,,,,,,,,,,,,
