type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
250 SX 2013-2014,,Right Lower Fork Cover,5313,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 1,,55.84926,275.837981,1,-108,7,White,7310,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 2,,205.552974,242.132537,1.7,-24,13,Turquoise,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 3,,361.336549,167.894682,2.1,-6,11,White,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 4,,212.37994,721.162087,1.7,0,12,,251,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 5,,378.562824,487.087416,10.886,-90,3,KTM Orange,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 6,,498.133435,452.634867,5.4,-77,5,Black,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 7,,55.84926,275.837981,1,-108,6,White,7310,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 8,,205.552974,242.132537,1.7,-24,9,Turquoise,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 9,,361.336549,167.894682,2.1,-6,10,White,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 10,,212.37994,721.162087,1.7,0,8,,251,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 11,,378.562824,487.087416,10.886,-90,2,KTM Orange,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 12,,498.133435,452.634867,5.4,-77,4,Black,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 1,,527.070197,263.514037,1,108,7,White,7310,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 2,,369.267285,714.236462,1.7,0,12,,251,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 3,,219.574498,147.617234,2.1,6,11,White,7325,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 4,,396.334961,237.479835,1.7,24,13,Turquoise,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 5,,147.590296,384.11166,5.7,0,4,KTM Orange,6111,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 6,,88.19288,449.316744,5.4,77,5,Black,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 7,,527.070197,263.514037,1,108,6,White,7310,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 8,,369.267285,714.236462,1.7,0,8,,251,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 9,,219.574498,147.617234,2.1,6,10,White,7325,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 10,,396.334961,237.479835,1.7,24,9,Turquoise,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 11,,147.590296,384.11166,5.7,0,2,KTM Orange,6111,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Lower Fork Cover,5314,Designer Added Icon 12,,88.19288,449.316744,5.4,77,3,Black,6115,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 1,,215.78423,1166.294107,1.3,42,3,,7328,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 2,,284.182222,1253.346097,1,150,4,Turquoise,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 3,,134.95024,1082.351117,6.6,73,2,White,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 4,,577.774189,887.830143,6.6,73,5,White,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 5,,781.205166,359.09171,6.6,73,6,Black,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 6,,70.590255,377.53721,6.6,-73,7,Black,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 7,,579.328689,-97.722737,2.636,-30,8,Turquoise,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 8,,879.138655,143.016236,2.636,-30,10,KTM Orange,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 9,,888.257156,669.783175,2.636,150,11,KTM Orange,7325,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 10,,687.72668,916.948645,1,48,12,KTM Orange,7316,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 11,,176.087745,262.295727,1,48,13,KTM Orange,7316,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 12,,216.296242,457.954205,1,48,14,KTM Orange,7316,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 13,,541.186703,1079.75413,2.8,73,16,,207,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 14,,257.130232,815.906157,3.9,73,18,White,6732,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Fender,7139,Designer Added Icon 15,,367.499719,1246.502605,2.6,73,17,White,7194,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Corporate Logo,,221.5442082,171.2283328,1,0,27,,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,User Name,,495.2807073,158.5894437,,0,28,White,,,,,,,,,,-6,left,65,Bold Italic 02,1,,,,
250 SX 2013-2014,,Front Number Plate,5324,User Number,,394.3648766,272.0971539,,0,29,Turquoise,,,,,,,,,,-21,left,396,Bold Italic 02,1,,,,
250 SX 2013-2014,,Front Number Plate,5324,User Flag,,659.2752361,173.6054121,0.3,0,2,,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Designer Added Icon 1,,395.64763,644.979047,1,0,26,,7400,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Designer Added Icon 2,,535.825035,672.047787,3,-31,9,KTM Orange,6986,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Designer Added Icon 3,,254.503483,672.047787,3,31,10,KTM Orange,6985,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Designer Added Icon 4,,167.195263,626.309418,5,31,4,Turquoise,6985,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Front Number Plate,5324,Designer Added Icon 5,,621.563405,628.242899,5,-31,6,Turquoise,6986,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 1,,318.055359,442.896882,2.2,17,19,,251,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 2,,1299.911886,951.643446,1.809,17,9,,157,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 3,,1261.334234,1034.912714,1.4,17,10,,180,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 4,,1353.475063,467.0691558,6.8,17,15,Turquoise,76,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 5,,973.085872,582.52091,3.1,-9,12,Dark Navy Blue,7319,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 6,,1255.696232,863.896956,1.2,17,16,,129,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 7,,1090.926992,449.794105,3.1,171,11,Dark Navy Blue,7319,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 8,,1395.942292,913.578409,0.8,17,17,White,69,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 9,,294.24136,454.479414,4.175,17,7,Dark Navy Blue,6117,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 10,,76.070798,539.649759,4.175,17,20,KTM Orange,6117,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 11,,259.411155,569.023688,4.175,-158,21,KTM Orange,6986,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 12,,1126.649873,384.244698,6.582,17,13,Dark Navy Blue,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 13,,1447.177859,669.2447472,5.3,17,14,KTM Orange,6732,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Shroud,5317,Designer Added Icon 14,,1427.989264,747.3474,1,-7,22,KTM Orange,7316,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Shroud,5318,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,User Number,,530.685925,463.46914,,27,35,Turquoise,,,,,,,,,,-21,left,348,Bold Italic 02,1,,,,
250 SX 2013-2014,,Right Side Plate,5325,Designer Added Icon 1,,789.27631,364.631092,8.3,45,8,Black,7487,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,Designer Added Icon 2,,1054.171975,391.640062,2.979,45,4,,7347,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,Designer Added Icon 3,,1258.040731,462.541582,2.979,38,3,,7347,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,Designer Added Icon 4,,305.3604076,160.248881,6.93,30,2,KTM Orange,7488,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Side Plate,5325,Designer Added Icon 5,,801.741988,461.2401,3.4,45,11,,6103,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Side Plate,5326,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Side Plate,5326,User Number,,642.092968,436.022161,,-30,36,Turquoise,,,,,,,,,,-21,left,352,Bold Italic 02,1,,,,
250 SX 2013-2014,,Left Side Plate,5326,Designer Added Icon 1,,382.819671,264.270371,10.4,-43,5,Black,7487,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Side Plate,5326,Designer Added Icon 2,,256.96139,205.15917,2.979,-45,4,,7347,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Side Plate,5326,Designer Added Icon 3,,-21.529033,366.28388,2.979,-38,3,,7347,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Side Plate,5326,Designer Added Icon 4,,665.330554,195.037422,10.4,-30,2,KTM Orange,7488,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Side Plate,5326,Designer Added Icon 5,,323.502444,438.305655,3.6,-43,35,,6103,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 1,,625.140685,0.095644,8.1,13,3,Black,7487,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 2,,326.736912,51.306853,3.8,-104,2,,7329,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 3,,-436.507064,-103.311604,14.613,-136,4,,7334,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 4,,681.276048,715.082903,1.7,-1,5,,7348,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 5,,939.301753,559.479616,1.967,-11,6,White,7319,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 6,,425.523386,728.189087,2.3,-1,7,,7348,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 7,,112.65053,640.842515,2.3,-1,8,,7348,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 8,,544.68793,210.168015,5.4,13,13,White,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 9,,122.802221,657.888022,2.3,-1,9,White,6114,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 10,,689.761458,603.418939,1.7,13,14,Turquoise,100,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 11,,556.127832,664.781839,0.4,-177,10,Black,7310,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 12,,786.578271,462.891497,2.8,-84,11,KTM Orange,7340,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Right Air Box,5319,Designer Added Icon 13,,659.913149,-14.373439,8.1,13,12,KTM Orange,7487,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Air Box,5320,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 1,,470.456731,-16.218506,8.1,-12,3,Black,7487,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 2,,649.849395,133.794378,4.6,104,2,,7329,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 3,,1499.544836,30.822251,14.613,136,4,,7334,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 4,,169.768618,584.707079,1.967,11,5,White,7319,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 5,,605.861881,775.752984,2.3,1,6,,7348,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 6,,923.736585,686.555242,2.3,1,7,,7348,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 7,,425.43773,218.396945,5.4,-12,13,White,102,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 8,,1023.318779,671.888022,2.3,1,8,White,6114,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 9,,314.893506,720.7116,1.7,-13,12,Turquoise,100,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 10,,496.805224,725.937184,0.6,-177,9,Black,7310,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 11,,177.657826,462.295795,2.8,84,10,KTM Orange,7340,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Left Air Box,5320,Designer Added Icon 12,,380.427593,-20.918925,8.1,-12,11,KTM Orange,7487,,,,,,,,,,,,,,,1,,
250 SX 2013-2014,,Rear Fender,5321,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 1,,934.70151,1094.84821,2.6,115,9,Black,7209,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 2,,117.076694,1118.768085,2.6,-115,13,Black,7079,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 3,,541.540034,669.068723,15.956,-180,2,,7334,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 4,,454.987864,1497.995403,4.6,-121,12,White,6986,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 5,,521.082273,1764.146948,3.2,0,21,White,6113,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 6,,905.974806,668.181768,3.2,-79,14,Dark Navy Blue,6977,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 7,,1086.890329,329.383644,3.2,-59,15,Dark Navy Blue,7081,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 8,,134.444399,670.785496,3.2,79,16,Dark Navy Blue,6977,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 9,,-34.740067,334.161905,3.2,59,17,Dark Navy Blue,7082,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 10,,380.166751,1653.674902,3.2,54,19,Turquoise,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 11,,521.511466,1681.943845,3.2,0,18,KTM Orange,6113,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 12,,650.23817,1678.023971,3.2,-54,20,Turquoise,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 13,,665.889102,1676.27863,3.2,-54,22,KTM Orange,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 14,,382.770478,1678.023971,3.2,54,23,KTM Orange,7486,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 15,,924.658659,349.812837,2.2,-55,30,KTM Orange,101,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 16,,113.986638,354.591099,2.2,55,29,KTM Orange,101,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 17,,380.195319,786.06437,0.5,-108,26,Turquoise,7316,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 18,,663.313943,788.668097,0.5,108,27,Turquoise,7318,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 19,,490.209603,1274.447585,7.7,58,8,White,6986,,,,,,,,,,,,,,,,,
250 SX 2013-2014,,Rear Fender,5321,Designer Added Icon 20,,287.119546,843.03145,1.8,83,11,White,7318,,,,,,,,,,,,,,,,,
