type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
250 SX 2015,,Right Lower Fork Cover,10838,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 1,,41.4175307,860.0631971,3.2,45,5,Blue,7486,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 2,,59.85898181,702.3111823,2.3,90,7,White,6139,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 3,,208.7299963,74.38348839,0.8,0,8,,7115,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 4,,312.7809636,780.5873568,2.6,-45,3,Blue,8279,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 5,,52.57842921,520.4619976,2.6,-45,4,Blue,8279,,,,,,,,,,,,,,,,,
250 SX 2015,,Right Lower Fork Cover,10838,Designer Added Icon 6,,205.7482479,490.286086,3.6,90,6,,6644,,,,,,,,,,,,,,,,,
250 SX 2015,,Left Lower Fork Cover,10837,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 1,,686.8932759,409.2546854,2.5,-70,15,Dark Grey,102,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 2,,181.8411387,1058.266315,1.1,83,19,,6102,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 3,,672.4731368,1070.201746,1.1,-83,18,,6102,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 4,,427.8187601,1136.664373,3.6,90,17,Yellow,6732,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 5,,162.6326975,384.9237691,2.5,70,16,Dark Grey,102,,,,,,,,,,,,,,,,,
250 SX 2015,,Front Fender,7139,Designer Added Icon 6,,428.2237666,1072.493459,5.9,0,2,Dark Grey,8016,,,,,,,,,,,,,,,,,
