type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Right Lower Fork Cover,5313,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 2,,272.0113709161555,474.43181180981594,4.1,90,8,White,7194,Steel Blue,,,,1,,,,,,,,,,,,
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 3,,136.46828188548065,743.583140781186,0.6000000000000001,0,9,,7115,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 4,,267.421416593047,337.4118208752556,1.5000000000000004,-152,4,Motocal Blue,7486,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 5,,291.0498876400819,381.90493121063406,6.9999999999999964,0,5,Steel Blue,8494,Motocal Blue,,,,1,,,,,,,,,,,,
450 SX-F 2013-2014,,Right Lower Fork Cover,5313,Designer Added Icon 6,,297.7143473496933,390.25213917382416,6.830279999999993,0,7,Blue,8493,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Right Lower Fork Cover,5313,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Left Lower Fork Cover,5314,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Left Lower Fork Cover,5314,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,1,,
450 SX-F 2013-2014,X,Left Lower Fork Cover,5314,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,1,,
450 SX-F 2013-2014,,Front Fender,7139,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 2,,430.30679365665696,1272.5679424993004,2,90,18,,6102,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 3,,173.9889165824991,682.5999104674416,4,117,3,Motocal Blue,7486,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 4,,693.366428790873,698.743655814767,4,-117,5,Motocal Blue,7486,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 5,,432.8390972872673,1419.162057746744,2.4000000000000012,-45,2,Motocal Blue,6111,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 7,,837.6024376226455,363.5151917959314,6.799999999999996,74,12,White,7995,,,,,,,,,,,,,,,1,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 8,,111.72193786503065,157.64540170584428,4.999999999999999,106,10,Blue,7995,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 9,,429.5222354063072,935.2293839059304,13.39866127134491,0,8,Steel Blue,8313,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 10,,159.09461253255844,339.51868942438915,2.599999999999999,79,14,White,7268,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 11,,690.0291394674416,355.951586677645,2.6999999999999997,-79,15,White,7268,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 12,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Fender,7139,Designer Added Icon 13,,737.2520552681092,178.61543710924556,5,-106,9,Blue,7996,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 14,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 15,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Fender,7139,Designer Added Icon 16,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Corporate Logo,,190.13680215918635,577.414088335809,1.3000000000000003,23,19,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,User Name,,563.4000882376492,133.65704576816276,,0,16,Motocal Blue,,,,,,,,,,-8,left,78,Bold Italic 02,1,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,User Number,,388.10810341846957,279.7845482337747,,0,22,Orange,,,,,,,,,,-15,left,495,Bold Italic 02,1,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,User Flag,,696.1965618427511,159.380288248843,0.3,0,14,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Designer Added Icon 4,,395.8523662345279,323.7044385672156,6.799999999999997,0,11,Steel Blue,8420,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,X,Front Number Plate,5324,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Designer Added Icon 8,,146.72498790108713,491.1733330104402,3.0000000000000004,58,20,Blue,7996,,,,,,,,,,,,,,,1,,
450 SX-F 2013-2014,,Front Number Plate,5324,Designer Added Icon 9,,642.4657949744914,492.5101106541815,3.000000000000001,-58,21,Blue,7996,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Designer Added Icon 10,,220.03756901044022,625.4584664806803,2.8999999999999995,29,7,Motocal Blue,6115,,,,,,,,,,,,,,,,,
450 SX-F 2013-2014,,Front Number Plate,5324,Designer Added Icon 11,,567.6748640517706,622.8329899377893,2.9000000000000004,-29,6,Motocal Blue,6115,,,,,,,,,,,,,,,,,
