type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
450 SX-F 2015,,Right Lower Fork Cover,10838,Background,,0,0,1,0,1,Steel Blue,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Right Lower Fork Cover,10838,Designer Added Icon 1,,136.1100456,550.8158688,5.070147521,90,9,White,8783,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Right Lower Fork Cover,10838,Designer Added Icon 2,,218.9228406,58.434832,0.7,0,10,,7115,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Left Lower Fork Cover,10837,Background,,0,0,1,0,1,Steel Blue,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Fender,7139,Background,,0,0,1,0,2,Racing Blue,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Fender,7139,Designer Added Icon 1,,429.8898603,1338.324695,1.2,90,18,,6102,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Fender,7139,Designer Added Icon 2,,433.8175558,959.4049752,9.170337444,0,6,Steel Blue,8728,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Fender,7139,Designer Added Icon 3,,433.8167858,730.9658483,7.017608304,0,15,Navy Blue,8729,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Background,,0,0,1,0,1,Red,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Corporate Logo,,401.8494914,667.9334465,0.9,0,26,,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,User Name,,482.4357442,144.0792772,,0,28,White,,,,,,,,,,-10,left,113,Bold Italic 02,1,,,,
450 SX-F 2015,,Front Number Plate,5324,User Number,,394.8165676,290.3924357,,0,29,White,,,,,,,,,,-15,left,389,Bold Italic 02,1,,,,
450 SX-F 2015,,Front Number Plate,5324,User Flag,,667.1999858,181.8890923,0.4,0,27,,,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Designer Added Icon 1,,666.087316,181.3091959,0.6,0,13,Red,6115,White,,,,6,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Designer Added Icon 2,,400.6707801,291.5606043,6.5,0,10,Orange,8730,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Designer Added Icon 3,,401.2853392,596.0852538,6.1,0,11,Racing Blue,8733,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Designer Added Icon 4,,400.7330499,474.2449682,6,0,2,Navy Blue,8731,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Front Number Plate,5324,Designer Added Icon 5,,400.5889073,483.6078522,5.785693387,0,3,Steel Blue,8732,,,,,,,,,,,,,,,,,
450 SX-F 2015,,Right Shroud,5317,Background,,0,0,1,0,1,Red,,,,,,,,,,,,,,,,,,
