type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
690 SMC-R 2015-2018,,Right Lower Fork Cover,11646,Background,,0,0,1,0,3,Dark Grey,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Lower Fork Cover,11645,Background,,0,0,1,0,3,Dark Grey,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Front Fender,5264,Background,,0,0,1,0,4,KTM Orange,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Upper Fork Cover,6811,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Upper Fork Cover,6811,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Front Number Plate,4552,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Front Number Plate,4552,User Name,,641.1001517913702,284.62805723091515,,0,4,White,,,,,,,,,,1,left,51,Bold Italic 01,1,,,,
690 SMC-R 2015-2018,,Front Number Plate,4552,User Number,,281.5769358857279,195.84275625794214,,0,7,White,,,,,,,,,,-8,left,230,Bold Italic 02,1,,,,
690 SMC-R 2015-2018,,Front Number Plate,4552,User Flag,,727.241616677098,236.5476267880512,0.40000000000000013,0,3,,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Shroud,11635,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Shroud,11641,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Side Plate,5328,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Side Plate,5328,User Name,,430.24482786865815,255.8815474556662,,10,6,White,,,,,,,,,,1,left,35,Bold Italic 01,1,,,,
690 SMC-R 2015-2018,,Right Side Plate,5328,User Number,,596.8901059269797,376.66795174585104,,10,7,White,,,,,,,,,,-8,left,263,Bold Italic 02,1,,,,
690 SMC-R 2015-2018,,Right Side Plate,5328,User Flag,,544.5959670459932,282.22364501849216,0.26780513192800226,10,5,,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Side Plate,5329,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Air Box,11649,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Air Box,11650,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Rear Fender,5274,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Rear Fender,5274,User Number,,357.00991440493124,475.01592064106217,,0,3,White,,,,,,,,,,-7,left,83,Bold Italic 02,1,,,,
690 SMC-R 2015-2018,,Right Swing Arm,11647,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Swing Arm,11648,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Fuel Tank,11637,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Left Fuel Tank,11643,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Shroud,11635,Designer Added Icon 1,,1264.4615690314488,878.1582550173953,19.099999999999977,10,4,Dark Grey,7488,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Shroud,11635,Designer Added Icon 2,,-294.72433661103565,1020.0396443014162,13.1,-21,2,Dark Grey,7487,,,,,,,,,,,,,,,,1,
690 SMC-R 2015-2018,,Right Shroud,11635,Designer Added Icon 3,,543.3577164947017,821.1800544484053,6.9,24,3,Black,7487,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Air Box,11649,Designer Added Icon 1,,-23.078407348854302,106.76801990808514,10,41,3,Black,7487,,,,,,,,,,,,,,,,,
690 SMC-R 2015-2018,,Right Air Box,11649,Designer Added Icon 2,,571.2233422955269,174.60395162928006,4.5,-21,2,Dark Grey,6111,,,,,,,,,,,,,,,,,
