type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
85 SX 19/16 2018,,Right Lower Fork Cover,11906,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Lower Fork Cover,11907,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Fender,11904,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Upper Fork Cover,11908,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Upper Fork Cover,11908,User Flag,,208.2828179772404,54.84551255761024,0.65,0,9,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Upper Fork Cover,11908,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Number Plate,11917,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Number Plate,11917,User Name,,145.39995638122318,190.16276329255575,,0,4,White,,,,,,,,,,1,left,39,Bold Italic 01,1,,,,
85 SX 19/16 2018,,Front Number Plate,11917,User Number,,392.44046845329547,349.6494552664771,,0,10,White,,,,,,,,,,-10,left,350,Bold Italic 10,1,,,,
85 SX 19/16 2018,,Front Number Plate,11917,User Flag,,85.02536002275949,149.42697434613567,0.40000000000000013,0,6,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Shroud,11901,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Shroud,11902,Background,,0,0,1,0,2,KTM Orange,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,User Number,,566.4241552432433,372.8810143063064,,19,2,White,,,,,,,,,,-10,left,340,Bold Italic 10,1,,,,
85 SX 19/16 2018,,Left Side Plate,11900,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Background,,0,0,1,0,1,Light Blue,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Swing Arm,11920,Background,,0,0,1,0,4,Aluminium,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Swing Arm,11921,Background,,0,0,1,0,4,Aluminium,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Fuel Tank,11922,Background,,0,0,1,0,2,KTM Orange,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Fuel Tank,11924,Background,,0,0,1,0,2,KTM Orange,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,Designer Added Icon 1,,642.7155064881287,460.1418493634204,9.100000000000001,-7,9,Light Blue,8432,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,Designer Added Icon 2,,1031.5836596412819,897.7539214354924,2.5000000000000013,-7,10,Light Blue,6115,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,Designer Added Icon 3,,271.6809569385792,12.200227741798857,2.5000000000000013,-3,11,Light Blue,6115,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Side Plate,11900,User Number,,740.0998447567566,372.8810143063064,,-19,15,White,,,,,,,,,,-10,left,340,Bold Italic 10,1,,,,
85 SX 19/16 2018,,Left Side Plate,11900,Designer Added Icon 1,,638.8427988698609,472.62469668442566,9.3,7,8,Light Blue,8432,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Side Plate,11900,Designer Added Icon 2,,391.0308204440666,993.8718458072326,4.399999999999999,7,9,Light Blue,6115,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Side Plate,11900,Designer Added Icon 3,,1024.8567652046165,29.67621399120616,2.5000000000000013,3,10,Light Blue,6115,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Right Shroud,11901,Designer Added Icon 1,,786.0785704914161,1238.8736521771002,22,14,3,Light Blue,6115,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Shroud,11901,Designer Added Icon 2,,1413.1530581032034,495.53683352880813,3.5705757996197662,5,2,Black,7152,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Upper Fork Cover,11908,Designer Added Icon 1,,204.53409032716922,332.5224921763869,2.8,90,14,,9063,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Designer Added Icon 1,,363.6285761024182,420.3095144758425,1.2000000000000002,0,10,,6747,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Designer Added Icon 2,,367.4752119487909,675.4696922852308,7.3000000000000025,0,9,Black,8044,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Designer Added Icon 3,,627.7642375533429,366.45661262662486,2.2,-76,11,,64,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Designer Added Icon 4,,105.38858321479393,371.0700692411341,2.2,76,12,,64,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Rear Fender,11903,Designer Added Icon 5,,367.4752119487909,930.6298700946193,1,0,13,,6526,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Side Plate,11899,Designer Added Icon 4,,987.1725335151558,823.0132457598169,1.4000000000000004,10,12,,9060,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Shroud,11901,Designer Added Icon 3,,1755.7558846682234,554.9048323559596,4.8000000000000025,14,4,,6747,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Shroud,11902,Designer Added Icon 1,,1323.031429508584,1238.8736521771002,22,-14,3,Light Blue,6115,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Shroud,11902,Designer Added Icon 2,,695.9569418967967,495.53683352880813,3.5705757996197662,-5,2,Black,7152,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Shroud,11902,Designer Added Icon 3,,353.3541153317767,552.4311657381616,4.8000000000000025,-14,4,,6747,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Number Plate,11917,Designer Added Icon 1,,383.6727126790379,535.7154544137142,5.8,0,9,KTM Orange,8558,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Number Plate,11917,Designer Added Icon 2,,384.57292723569986,620.3356227399352,1.2000000000000002,0,11,,6747,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Lower Fork Cover,11906,Designer Added Icon 1,,231.6178020130471,705.9756734151058,7.299999999999992,169,9,KTM Orange,8017,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Lower Fork Cover,11906,Designer Added Icon 2,,255.0156208845502,442.21844249998026,4.7,90,10,,6705,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Lower Fork Cover,11907,Designer Added Icon 1,,239.37319798695287,705.9756734151058,7.299999999999992,-169,9,KTM Orange,8017,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Lower Fork Cover,11907,Designer Added Icon 2,,215.97537911544978,442.21844249998026,4.7,-90,10,,6705,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Upper Fork Cover,11908,User Flag,,208.2828179772404,54.84551255761024,0.65,0,9,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Upper Fork Cover,11908,Designer Added Icon 1,,204.53409032716922,332.5224921763869,2.8,90,14,,9063,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Fender,11904,Designer Added Icon 1,,404.5609895685159,690.736698198198,10.29222513327718,0,9,KTM Orange,8477,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Fender,11904,Designer Added Icon 2,,177.3444770033191,490.1593629682313,3.200000000000001,74,10,,6705,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Front Fender,11904,Designer Added Icon 3,,637.6744082503558,477.2521439070648,3.200000000000001,-74,11,,6705,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Swing Arm,11920,Designer Added Icon 1,,817.7295032660576,99.67865271088554,9,79,7,Black,8017,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Right Swing Arm,11920,Designer Added Icon 2,,833.7820093502095,97.67208945036656,2.4000000000000004,0,8,,2420,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,,Left Swing Arm,11921,Designer Added Icon 1,,322.8344967339425,99.67865271088554,9,-79,7,Black,8017,,,,,,,,,,,,,,,1,,
85 SX 19/16 2018,,Left Swing Arm,11921,Designer Added Icon 2,,306.7819906497906,97.67208945036656,2.4000000000000004,0,8,,2420,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Lower Fork Cover,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Lower Fork Cover,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Left Lower Fork Cover,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Left Lower Fork Cover,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Upper Fork Cover,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Upper Fork Cover,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Upper Fork Cover,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Upper Fork Cover,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
85 SX 19/16 2018,X,Right Upper Fork Cover,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,
