type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Freeride E-XC 2015-2018,,Right Lower Fork Cover,11126,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Left Lower Fork Cover,11125,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Right Upper Fork Cover,11153,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Left Upper Fork Cover,11153,Background,,0,0,1,0,4,White,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Front Number Plate,11128,Background,,0,0,1,0,1,KTM Orange,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Front Number Plate,11128,User Name,,286.5421727,115.5229558,,0,2,Black,,,,,,,,,,1,left,40,Bold Italic 01,1,,,,
Freeride E-XC 2015-2018,,Front Number Plate,11128,User Number,,387.9312628,241.9375284,,0,5,White,,,,,,,,,,-8,left,275,Bold Italic 02,1,,,,
Freeride E-XC 2015-2018,,Front Number Plate,11128,User Flag,,154.9703696,121.6112015,0.4,0,3,,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Right Shroud,11129,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Left Shroud,11130,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Right Air Box,11132,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Left Air Box,11135,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Rear Fender,11139,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Rear Fender,11139,User Number,,525.6083391,765.5693487,,0,4,White,,,,,,,,,,-8,left,83,Bold Italic 02,1,,,,
Freeride E-XC 2015-2018,,Right Swing Arm,11137,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Left Swing Arm,11138,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Right Shroud,11129,Designer Added Icon 1,,1506.980939,295.9506044,1.6,-20,3,White,7310,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Right Shroud,11129,Designer Added Icon 2,,1002.715112,912.8194806,7.3,-26,4,White,8610,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Rear Fender,11139,Designer Added Icon 1,,688.830909,1418.459628,8.9,11,2,White,8020,,,,,,,,,,,,,,,,,
Freeride E-XC 2015-2018,,Rear Fender,11139,Designer Added Icon 2,,370.5468977,1406.217936,8.9,-11,3,White,8019,,,,,,,,,,,,,,,,,
