type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RC 200 2016-2018,,Front Fender,11708,Background,,0,0,1,0,4,KTM Orange,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Windshield,11715,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Windshield,11715,User Number,,1142.566512,298.051326,,0,6,Aluminium,,,,,,,,,,1,left,249,Bold Italic 07,1,,,,
RC 200 2016-2018,,Right Fairing,11724,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Fairing,11724,Target Name,,647.736626,939.140433,,45,2,White,,,,,,,,,,1,left,45,Bold 01,1,,,,
RC 200 2016-2018,,Left Fairing,11725,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Belly Pan,11711,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Belly Pan,11711,User Number,,1121.7730536880522,306.53447897618133,,2,3,Aluminium,,,,,,,,,,-27,left,382,Bold Italic 07,1,,,,
RC 200 2016-2018,,Left Belly Pan,11712,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Tank,11721,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Tank,11723,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Rear Tailpiece,11730,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Rear Tailpiece,11731,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Stay,11713,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Stay,11714,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Seat Handle,11732,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Seat Handle,11733,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 1,,1529.1055547042515,831.468293718569,14.076113076159986,-46,4,Dark Grey,6111,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 2,,542.0895366481623,121.4322718207587,8.000000000000002,12,3,Dark Grey,8305,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Tank,11721,Designer Added Icon 1,,692.8003513064446,339.5343261454913,9.799999999999994,12,6,Dark Grey,8305,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 3,,1036.6966726450885,488.5406794273665,6.80000000000001,19,9,,8887,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Tank,11723,Designer Added Icon 1,,698.1436486935554,339.5343261454913,9.799999999999994,-12,6,Dark Grey,8305,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Left Belly Pan,11712,User Number,,286.91746135363684,326.486604408375,,-3,3,Aluminium,,,,,,,,,,-27,left,250,Bold Italic 07,1,,,,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 4,,876.2241351883084,681.9870259506091,11.300000000000004,40,5,Black,8459,,,,,,,,,,,,,,,,1,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 5,,1430.1841275048662,394.0157601035094,14.1,0,7,KTM Orange,8409,,,,,,,,,,,,,,,,,
RC 200 2016-2018,,Right Fairing,11724,Designer Added Icon 6,,1711.5606315386733,396.2140140412735,1.6000000000000005,-7,8,Black,7316,,,,,,,,,,,,,,,,,
