type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
GSX-R750 (Blue) 2008,,Right Upper Fork Cover,9526,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Right Upper Fork Cover,9526,Designer Added Icon 1,,233.331571,634.557035,4.3,14,4,Black,6115,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Right Upper Fork Cover,9526,Designer Added Icon 2,,406.136798,201.260765,3.7,-49,5,Red,7503,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Right Upper Fork Cover,9526,Designer Added Icon 3,,273.521045,447.588614,1.9,14,6,Cyan,38,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Left Upper Fork Cover,9527,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Left Upper Fork Cover,9527,Designer Added Icon 1,,279.638708,617.505668,4.3,-12,4,Black,6115,,,,,,,,,,,,,,,1,,
GSX-R750 (Blue) 2008,,Left Upper Fork Cover,9527,Designer Added Icon 2,,80.406962,180.799525,3.7,52,5,Red,7503,,,,,,,,,,,,,,,1,,
GSX-R750 (Blue) 2008,,Left Upper Fork Cover,9527,Designer Added Icon 3,,196.825817,439.914399,1.9,-12,6,Cyan,38,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Front Fairing,9525,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Front Fairing,9525,Designer Added Icon 1,,1400.216798,631.161082,10.6,-160,6,Cyan,8020,,,,,,,,,,,,,,,,,
GSX-R750 (Blue) 2008,,Front Fairing,9525,Designer Added Icon 2,,306.464837,626.148888,10.6,160,5,Cyan,8019,,,,,,,,,,,,,,,,,
