type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 1,,250.502362,268.225068,4.1,13,11,Cyan,6115,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 2,,257.771183,547.09236,4.1,13,12,Suzuki Yellow,7487,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 3,,479.663571,719.47461,1.6,-38,13,Suzuki Yellow,7370,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 4,,109.011047,660.149448,4.9,89,27,White,69,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 5,,243.429485,405.438879,27.9,13,19,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 6,,263.429485,368.855864,22.018,13,20,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 7,,286.258636,340.760301,17.328,13,21,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 8,,303.429485,318.32304,13.204,13,22,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 9,,323.429485,301.544081,10.699,13,23,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 10,,346.258636,290.423423,6.868,13,24,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 11,,366.258636,282.131916,4.492,13,25,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 12,,336.748498,266.767531,3.492,13,26,Suzuki Yellow,6116,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Right Lower Fork Cover,7879,Designer Added Icon 13,,305.670801,542.652689,1.3,0,28,,425,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 1,,246.179638,266.979666,4.1,-13,11,Cyan,6115,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 2,,238.910817,545.846958,4.1,-13,12,Suzuki Yellow,7487,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 3,,17.018429,718.229208,1.6,38,13,Suzuki Yellow,7370,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 4,,376.753157,656.756461,4.9,-89,27,White,69,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 5,,253.252515,404.193477,27.9,-13,19,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 6,,233.252515,367.610462,22.018,-13,20,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 7,,210.423364,339.5149,17.328,-13,21,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 8,,193.252515,317.077639,13.204,-13,22,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 9,,173.252515,300.298679,10.699,-13,23,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 10,,150.423364,289.178021,6.868,-13,24,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 11,,130.423364,280.886514,4.492,-13,25,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 12,,159.933502,265.52213,3.492,-13,26,Suzuki Yellow,6116,,,,,,,,,,,,,,,1,,
RM-Z250 2007-2009,,Left Lower Fork Cover,7880,Designer Added Icon 13,,205.67083,603.427766,1.2,0,28,,425,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Background,,0,0,1,0,3,Suzuki Yellow,,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 1,,707.347745,266.928149,3.582,-90,17,Cyan,7486,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 2,,-7.314932999999981,254.117971,3.582,-90,18,Cyan,7486,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 3,,165.237958,766.184877,2.9,85,20,,6657,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 4,,537.590738,767.639994,2.898,-86,21,,6657,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 5,,149.546134,587.868693,7.711,-94,10,Cyan,7488,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 6,,550.429503,587.89728,7.711,-86,9,Cyan,7488,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 7,,347.833731,880.307234,3.9,180,8,White,7555,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 8,,339.274554,836.084821,4.7,90,22,,705,,,,,,,,,,,,,,,,,
RM-Z250 2007-2009,,Front Fender,3605,Designer Added Icon 9,,481.98467600000004,509.466746,7.711,-96,6,Mid Blue,7488,,,,,,,,,,,,,,,,,
