type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RM-Z250 2011,,Right Lower Fork Cover,623,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Lower Fork Cover,623,Designer Added Icon 1,,177.84717976892762,558.5772145862651,4.799999999999997,90,8,,6705,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Lower Fork Cover,623,Designer Added Icon 2,,335.26322679391075,356.8487385840672,8.854014857992325,0,4,White,8895,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Lower Fork Cover,623,Designer Added Icon 3,,301.9149802895079,405.10712508594446,7.085072191226496,0,7,Black,8896,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Left Lower Fork Cover,622,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 1,,172.79774531578963,408.5241906889952,2.1999999999999993,73,17,,8821,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 2,,214.20438360581508,1046.8032521115201,1.1,68,19,,6102,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 3,,425.92757553992516,998.0414556073763,4.899999999999997,0,5,White,8900,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 4,,424.98594607693354,1011.013792837228,9.499999999999996,0,3,Blue,8899,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 5,,667.4708234258372,405.87885394736816,2.2,-73,18,,8821,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Fender,9004,Designer Added Icon 6,,400.8589554365485,100.37411644194144,9,0,2,Dark Grey,6115,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Designer Added Icon 1,,173.26184518328895,350.8528374466517,5.299999999999995,0,3,Black,8898,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Designer Added Icon 2,,160.23021620684003,346.67515077493334,5.653959027787341,0,2,White,8897,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Designer Added Icon 3,,201.30359442310044,43.01784617325414,0.7000000000000001,0,8,,7115,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Designer Added Icon 4,,136.25433674544342,395.98194745668644,3.6000000000000005,90,5,Dark Grey,8893,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Right Upper Fork Cover,626,Designer Added Icon 5,,191.67682675486378,195.59503102068388,1,58,6,Black,6117,,,,,,,,,,,,,,,1,,
RM-Z250 2011,,Left Upper Fork Cover,626,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Number Plate,7823,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Number Plate,7823,User Name,,588.6321386421876,113.41122510104137,,0,28,Orange,,,,,,,,,,-6,left,79,Bold Italic 02,1,,,,
RM-Z250 2011,,Front Number Plate,7823,User Number,,435.32383005727354,245.58823659908523,,0,29,Orange,,,,,,,,,,-15,left,408,Bold Italic 02,1,,,,
RM-Z250 2011,,Front Number Plate,7823,User Flag,,728.5769989960596,139.45052404728398,0.3,0,27,,,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Number Plate,7823,Designer Added Icon 1,,434.7166544668274,386.55668901990407,6.666986840133698,0,9,Blue,8901,,,,,,,,,,,,,,,,,
RM-Z250 2011,,Front Number Plate,7823,Designer Added Icon 2,,435.48090876458326,359.9758444506863,6.7,0,11,White,8902,,,,,,,,,,,,,,,,,
