type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RM125 2001-2003,,Right Lower Fork Cover,565,Background,,0,0,1,0,2,Lime Green,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Lower Fork Cover,565,Designer Added Icon 1,,231.4353265589075,477.8670027958842,3.7,90,8,Very Dark Purple,149,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Lower Fork Cover,565,Designer Added Icon 2,,234.53301825981782,899.9109697488552,1,0,9,,7115,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Lower Fork Cover,565,Designer Added Icon 3,,234.41951464612387,987.2356536296934,2.7000000000000006,27,4,Very Dark Purple,7503,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Left Lower Fork Cover,564,Background,,0,0,1,0,2,Lime Green,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Target Logo,,217.16522846958736,943.6451888869663,1.0999999999999994,79,20,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 1,,524.599314,1198.588816,1,-124,10,Black,7324,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 2,,432.97511015126855,1068.9830568037496,1.2000000000000002,90,22,,6102,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 3,,-367.6552600842536,616.7756880086193,8.5,80,3,Very Dark Purple,8514,,,,,,,,,,,,,,,1,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 4,,1216.4704479708018,626.659472466735,8.499999999999993,-80,4,Very Dark Purple,8514,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 5,,692.5991402484514,98.04134257393723,2.3000000000000003,-9,11,Purple,7325,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 6,,426.2449138865485,1003.5053547185261,4.7,0,7,Purple,8016,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Fender,3722,Designer Added Icon 7,,425.0970781220708,-43.061225370037164,12.32387633464637,0,12,Purple,8035,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 1,,127.16050112050848,450.09695222711855,0.5,0,3,Lime Green,7321,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 2,,128.9870259645532,432.94788242547,1.8999999999999995,0,4,Lime Green,7321,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 3,,127.03612090071651,35.88732709928351,0.6000000000000001,0,9,,7115,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 4,,244.88881063836664,336.4612621276734,0.8999999999999999,-157,7,Lime Green,7324,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 5,,9.564548631148016,336.4921351346226,0.9,157,5,Lime Green,7324,,,,,,,,,,,,,,,1,,
RM125 2001-2003,,Left Upper Fork Cover,568,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Number Plate,570,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Number Plate,570,Corporate Logo,,184.45854874352196,31.164011788611745,1,0,28,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Number Plate,570,User Name,,551.075143880623,140.39834775672037,,0,30,White,,,,,,,,,,-6,left,83,Bold Italic 02,1,,,,
RM125 2001-2003,,Front Number Plate,570,User Number,,417.29221121818404,269.1767146560362,,0,31,Lime Green,,,,,,,,,,-14,left,403,Bold Italic 02,1,,,,
RM125 2001-2003,,Front Number Plate,570,User Flag,,698.0836732664981,167.2581653439638,0.4,0,29,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Number Plate,570,Target Logo,,419.72367830706247,638.7537971325758,1.5,0,27,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Front Number Plate,570,Designer Added Icon 1,,429.32145669428445,353.86131572849223,6.699999999999999,0,5,Purple,8319,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Shroud,561,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Left Shroud,560,Background,,0,0,1,0,2,Suzuki Yellow,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Left Tank,8529,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Side Plate,8055,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Side Plate,8055,User Number,,573.387992175295,446.2016826461241,,21,24,Lime Green,,,,,,,,,,-14,left,463,Bold Italic 02,1,,,,
RM125 2001-2003,,Right Side Plate,8055,Designer Added Icon 1,,1099.8373691235251,-262.8851101800355,9.699999999999994,-66,6,Very Dark Purple,8514,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Side Plate,8055,Designer Added Icon 2,,1128.3954352976352,571.0175421352154,1.9999999999999996,101,23,Purple,7325,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Side Plate,8055,Designer Added Icon 3,,1200.4492115477026,28.152881722997382,8.7,72,22,Black,8515,,,,,,,,,,,,,,,1,,
RM125 2001-2003,,Left Side Plate,8056,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Air Box,2193,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Left Air Box,2192,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Corporate Logo,,53.57143595819634,353.5877001498141,1.1999999999999997,72,30,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,User Number,,350.85695669552337,165.26483763761246,,0,31,Lime Green,,,,,,,,,,-9,left,75,Bold Italic 02,1,,,,
RM125 2001-2003,,Rear Fender,579,Target Logo,,349.302696376717,1112.7245193433173,1.9,-90,28,,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 1,,649.6388760531705,357.8253524065614,1.2,-72,29,,6102,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 2,,355.051696682379,1204.0055210979367,9.528814163452928,180,9,Purple,8035,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 3,,1084.5373094448094,524.0101724185207,8.499999999999998,-7,12,Very Dark Purple,8514,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 4,,-375.32375689495257,522.9673505241608,8.499999999999998,7,8,Very Dark Purple,8514,,,,,,,,,,,,,,,1,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 5,,186.2273183188062,967.6568969116528,0.9999999999999997,70,16,Purple,7316,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Rear Fender,579,Designer Added Icon 6,,523.1677729128374,962.2890209116523,1,-70,17,Purple,7318,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Swing Arm,535,Background,,0,0,1,0,1,Aluminium,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Swing Arm,535,Designer Added Icon 1,,649.7703474584639,68.15763741734345,2.1999999999999993,0,5,Lime Green,149,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Swing Arm,535,Designer Added Icon 2,,432.9630505609132,118.76207253392593,16.633,-1,2,Black,6985,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Swing Arm,535,Designer Added Icon 3,,120.46313756065747,80.88289891040483,1.4000000000000004,0,6,,7266,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Swing Arm,535,Designer Added Icon 4,,460.9628919892564,-373.7534332905289,5.999999999999998,6,3,Very Dark Purple,8514,,,,,,,,,,,,,,,1,1,
RM125 2001-2003,,Left Swing Arm,535,Background,,0,0,1,0,3,Aluminium,,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Upper Fork Cover,568,Designer Added Icon 6,,128.4284644184669,274.0708959219954,2.4,90,8,Lime Green,103,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Designer Added Icon 1,,916.4346442412311,747.3292210236218,2.100000000000001,-37,6,Purple,7079,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Designer Added Icon 2,,684.9449992485036,289.58133544478204,9.3,-97,4,Black,8515,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Designer Added Icon 3,,762.1082142460795,909.5027576286963,12.238392137531498,72,2,Very Dark Purple,8514,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Designer Added Icon 4,,1064.2218187281137,904.271353222081,1.5999999999999988,55,7,Purple,7325,,,,,,,,,,,,,,,,,
RM125 2001-2003,,Right Tank,8528,Designer Added Icon 5,,1222.471802028227,985.3581215246184,5.699999999999994,158,5,Black,6115,,,,,,,,,,,,,,,,,
