type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
WR250F 2007-2012,,Right Lower Fork Cover,2568,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 1,,58.09473892,770.0749977,7.241,55,4,Black,6115,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 2,,345.4463584,230.5921533,5.44,37,3,Dark Yellow,6115,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 3,,568.1322007,278.8688337,5.3,136,2,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 4,,268.1661359,866.1759091,1,0,8,,7115,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 5,,214.8641652,456.3185262,4.5,90,5,,71,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Lower Fork Cover,2568,Designer Added Icon 6,,226.3712732,53.77748769,1,-14,6,,130,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Fender,7597,Background,,0,0,1,0,1,Dark Yellow,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Fender,7597,Designer Added Icon 1,,568.1058966,391.6687072,1.2,-71,4,,6102,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Fender,7597,Designer Added Icon 2,,49.47180204,385.8378574,1.2,71,5,,6102,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Number Plate,1047,Background,,0,0,1,0,1,Red,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Number Plate,1047,Corporate Logo,,411.134638,482.3921019,0.8,0,15,,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Number Plate,1047,User Name,,515.4893932,93.02040202,,0,17,Black,,,,,,,,,,-7,left,72,Bold Italic 02,1,,,,
WR250F 2007-2012,,Front Number Plate,1047,User Number,,405.5929201,225.2893807,,0,18,White,,,,,,,,,,-18,left,427,Bold Italic 02,1,,,,
WR250F 2007-2012,,Front Number Plate,1047,User Flag,,638.3804069,117.6068097,0.3,0,16,,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Number Plate,1047,Designer Added Icon 1,,229.9851271,-41.19716405,2.4,6,2,Black,6115,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Background,,0,0,1,0,1,Red,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,User Number,,491.7078998,533.4906516,,30,26,White,,,,,,,,,,-18,left,597,Bold Italic 02,1,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 1,,487.1873708,163.3937432,10.3,-136,4,Blue,7153,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Side Plate,4068,Background,,0,0,1,0,4,Red,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Air Box,2561,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Air Box,2560,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Corporate Logo,,397.352722,166.4185092,1.1,0,24,,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,User Number,,392.047193,1138.950975,,0,25,White,,,,,,,,,,-18,left,110,Bold Italic 02,1,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 1,,937.0259056,403.8480307,6.5,13,9,Blue,7086,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 2,,396.6175053,396.3711236,5.7,-45,2,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Designer Added Icon 1,,855.4326936,-24.53265007,4.4,31,2,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Designer Added Icon 2,,945.4922255,97.57354498,12.9,-1,3,Black,6985,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Swing Arm,2569,Background,,0,0,1,0,2,Blue,,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 1,,1542.666638,882.0345002,7.4,65,5,Dark Yellow,7483,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 2,,1033.44616,342.0302005,3.4,-73,6,Dark Yellow,7086,,,,,,,,,,,,,,,,1,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 3,,1021.588415,426.2510701,4.9,25,18,Black,7167,Dark Yellow,,,,1,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 4,,1059.04279,15.88139614,6.6,25,4,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 5,,1000.418551,773.1111516,4.6,71,3,Blue,6117,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 6,,419.5201002,819.166369,6.6,29,2,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 7,,1466.364561,634.1354783,2.4,25,7,Black,7484,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 8,,1312.355419,561.7056396,1.6,-74,8,Dark Yellow,7486,,,,,,,,,,,,,,,,1,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 9,,1307.54844,723.5405862,2.6,25,15,,283,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 1,,474.6572611,765.0749977,7.241,-55,4,Black,6115,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 2,,187.3056416,225.5921533,5.44,-37,3,Dark Yellow,6115,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 3,,-35.38020073,273.8688337,5.3,-136,2,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 4,,343.1586894,886.5965291,1,0,7,,7115,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 5,,315.5768694,464.3201307,4.5,-90,5,,71,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Lower Fork Cover,2567,Designer Added Icon 6,,308.6916922,40.68910861,1,14,6,,130,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 10,,1337.992638,925.4336878,1.3,25,17,,71,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 11,,1317.162398,834.1010942,2.2,25,16,,224,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 12,,1517.453173,547.2847038,3.9,51,10,Black,7995,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 13,,315.3282019,747.991128,5.4,25,12,Dark Yellow,7484,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 14,,1136.099537,222.0124846,1.3,25,13,,214,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Designer Added Icon 3,,76.41846676,259.3045985,4.4,-59,4,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 2,,1012.448236,398.2407387,3.9,111,12,Dark Yellow,7086,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 3,,649.2910547,1009.655871,7.3,127,8,Black,7995,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Designer Added Icon 4,,1105.554346,54.40974607,2.1,0,5,Dark Yellow,69,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Swing Arm,2570,Designer Added Icon 5,,1154.320472,128.1841426,1.6,0,6,,747,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Shroud,1049,Designer Added Icon 15,,1394.096329,340.4756739,1.5,25,14,,747,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 4,,-147.0643736,402.0208753,6.5,-13,10,Blue,7086,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 5,,141.801465,1009.647645,7.3,-127,7,Black,7995,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Swing Arm,2569,Designer Added Icon 1,,441.6903064,-24.53265007,4.4,-31,2,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Swing Arm,2569,Designer Added Icon 2,,351.6307745,97.57354498,12.9,1,3,Black,6985,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Swing Arm,2569,Designer Added Icon 3,,1220.704533,259.3045985,4.4,59,4,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Swing Arm,2569,Designer Added Icon 4,,190.7086799,56.98966933,2.1,0,5,Dark Yellow,69,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Swing Arm,2569,Designer Added Icon 5,,138.5026557,126.4641938,1.6,0,6,,747,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 3,,1315.413889,375.5649642,5,-9,13,Dark Yellow,7995,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 4,,1244.292125,380.0100745,5,32,10,Yamaha Blue,8508,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 5,,1005.737875,417.0526599,4.8,30,11,Blue,8209,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 6,,1059.079198,879.344126,3.4,-93,15,Red,7995,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 7,,283.4044633,191.0898927,3.2,-119,3,Black,7995,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 6,,398.2787672,278.4461639,2,0,23,,283,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 7,,401.9166264,391.2198004,1.6,0,22,,214,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 8,,396.4598376,503.9934368,1.7,0,21,,747,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Rear Fender,7556,Designer Added Icon 9,,394.6409079,634.9563694,1,0,20,,819,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 1,,115.6223616,882.0345002,7.4,-65,4,Dark Yellow,7483,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 2,,624.84284,342.0302005,3.4,73,5,Dark Yellow,7086,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 3,,661.386996,418.0222662,4.9,-25,55,Black,7167,Dark Yellow,,,,1,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 4,,599.2462095,15.88139614,6.6,-25,3,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 5,,652.3845795,845.7989187,4.6,-71,52,Blue,6117,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 6,,1238.7689,819.166369,6.6,-29,48,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 7,,191.9244387,634.1354783,2.4,-25,50,Black,7484,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 8,,345.9335811,561.7056396,1.6,74,2,Dark Yellow,7486,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 9,,350.7405597,723.5405862,2.6,-25,54,,283,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 10,,320.2963618,925.4336878,1.3,-25,53,,71,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 11,,341.1266025,834.1010942,2.2,-25,15,,224,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 12,,140.8358271,547.2847038,3.9,-51,16,Black,7995,,,,,,,,,,,,,,,,1,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 13,,1342.960798,747.991128,5.4,-25,51,Dark Yellow,7484,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 14,,522.1894634,222.0124846,1.3,-25,57,,214,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Shroud,1048,Designer Added Icon 15,,264.1926714,340.4756739,1.5,-25,56,,747,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 8,,1118.347335,479.2842034,1.5,30,17,Yamaha Blue,7166,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 9,,1118.347335,479.2842034,1.6,0,16,Blue,6112,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Fender,7597,Designer Added Icon 3,,309.2237925,657.2076768,1,0,8,Blue,7166,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Front Fender,7597,Designer Added Icon 4,,310.2329795,657.2076768,1.1,0,2,Yamaha Blue,6112,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Right Side Plate,4074,Designer Added Icon 10,,47.06977213,525.2110171,5.3,68,2,Black,7486,,,,,,,,,,,,,,,1,1,
WR250F 2007-2012,,Left Side Plate,4068,User Number,,939.7952123,548.3330559,,-28,5,White,,,,,,,,,,-18,left,597,Bold Italic 02,1,,,,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 1,,954.2053441,206.9159957,10.3,140,4,Blue,7153,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 2,,558.4982761,317.1539954,3.9,-107,13,Dark Yellow,7086,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 3,,152.6807531,315.2463869,5,13,14,Dark Yellow,7995,,,,,,,,,,,,,,,,,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 4,,205.0122718,345.4044645,5,-28,11,Yamaha Blue,8508,,,,,,,,,,,,,,,1,,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 5,,555.319034,343.8775989,4.8,-26,12,Blue,8209,,,,,,,,,,,,,,,,1,
WR250F 2007-2012,,Left Side Plate,4068,Designer Added Icon 6,,333.8544627,879.352126,3.4,97,16,Red,7995,,,,,,,,,,,,,,,1,,
