type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ125 2002-2003,,Right Lower Fork Cover,2616,Background,,0,0,1,0,1,Dark Navy Blue,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 1,,307.7212582668174,317.7529272405553,1.9000000000000006,-98,3,Hot Pink,7153,,,,,,,,,,,,,,,1,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 2,,219.0706749982794,389.97684884353083,3.7,90,6,Hot Pink,7194,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 3,,192.1509538636314,890.9006089648046,1,0,8,,7115,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 4,,370.1114566568723,324.66994506597786,5.599999999999994,-89,4,Dark Navy Blue,6117,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 5,,203.0470347536326,677.0042687990529,4.5,1,5,Dark Navy Blue,8493,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Lower Fork Cover,2616,Designer Added Icon 6,,196.69648507039074,666.4971295292218,4.499999999999998,1,2,Hot Pink,8494,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Left Lower Fork Cover,2614,Background,,0,0,1,0,2,Dark Navy Blue,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Background,,0,0,1,0,1,Turquoise,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 1,,646.501238,1283.894658,1,-124,7,Black,7324,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 2,,339.77453628479174,928.5379175269615,1,45,26,,6102,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 3,,231.2920604094285,1036.489424608653,3.9999999999999996,73,20,Turquoise,7486,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 4,,804.0590561143042,1069.6823763884404,4,-73,17,Turquoise,7486,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 5,,525.662393779787,372.95216306909913,5.200000000000002,135,21,Dark Turquoise,8508,,,,,,,,,,,,,,,1,1,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 6,,315.96159791669356,864.9231298692281,4.7,45,5,White,7486,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 7,,538.7295531611236,1030.9166895324508,3.7,45,2,Turquoise,6115,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Fender,2596,Designer Added Icon 8,,750.0972141821117,1133.8929000523085,3.7000000000000006,-45,14,Dark Turquoise,6115,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Upper Fork Cover,1137,Background,,0,0,1,0,2,Hot Pink,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Upper Fork Cover,1137,Designer Added Icon 1,,76.4417912974921,444.5855242367884,2.5000000000000004,81,5,Dark Navy Blue,7153,,,,,,,,,,,,,,,1,,
YZ125 2002-2003,,Right Upper Fork Cover,1137,Designer Added Icon 2,,397.82556070896567,339.43644363125605,5.399999999999997,90,6,Dark Navy Blue,7486,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Upper Fork Cover,1137,Designer Added Icon 3,,197.2900341332472,332.06302233634705,4.3,90,10,Dark Navy Blue,103,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Right Upper Fork Cover,1137,Designer Added Icon 4,,86.7762329443548,335.5870740348724,3.000000000000001,90,8,Hot Pink,6554,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Left Upper Fork Cover,1137,Background,,0,0,1,0,4,Hot Pink,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Corporate Logo,,429.5682780494027,58.47286158346788,0.9,0,26,,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,User Name,,631.6296232043914,129.7582358807448,,0,28,Hot Pink,,,,,,,,,,-6,left,81,Bold Italic 02,1,,,,
YZ125 2002-2003,,Front Number Plate,1127,User Number,,411.37656779216456,269.92271734581857,,0,29,Dark Navy Blue,,,,,,,,,,-15,left,467,Bold Italic 02,1,,,,
YZ125 2002-2003,,Front Number Plate,1127,User Flag,,771.6216476694651,156.23114340544615,0.3,0,27,,,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Designer Added Icon 1,,428.56462373931765,364.35307384501124,6.4,0,7,Dark Turquoise,8319,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Designer Added Icon 2,,429.05001800591975,616.1076559573783,1.2,0,25,,7400,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Designer Added Icon 3,,199.6374956422345,-37.3975341617696,3.400000000000001,-9,16,Turquoise,6115,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Designer Added Icon 4,,645.174365298138,-41.58452165665705,3.4999999999999996,9,17,Turquoise,6115,,,,,,,,,,,,,,,,,
YZ125 2002-2003,,Front Number Plate,1127,Designer Added Icon 5,,166.27022183306423,683.8157958117533,3.5,26,15,Turquoise,6115,,,,,,,,,,,,,,,,,
