type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"TT-R230 2005-2012,2015-2018",,Front Fender,2546,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Front Number Plate,1025,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Front Number Plate,1025,User Name,,606.9361932699037,82.97244210807392,,0,4,White,,,,,,,,,,-6,left,82,Bold Italic 02,1,,,,
"TT-R230 2005-2012,2015-2018",,Front Number Plate,1025,User Number,,418.92675487871554,240.75287463284388,,0,7,White,,,,,,,,,,-9,left,339,Bold Italic 02,1,,,,
"TT-R230 2005-2012,2015-2018",,Front Number Plate,1025,User Flag,,469.924576659265,110.97263798678942,0.3,0,3,,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Background,,0,0,1,0,1,Yamaha Blue,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Background,,0,0,1,0,1,Yamaha Blue,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Side Plate,1029,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Side Plate,1029,User Name,,391.6629003946313,277.79418574407975,,10,5,White,,,,,,,,,,-6,left,110,Bold Italic 02,1,,,,
"TT-R230 2005-2012,2015-2018",,Right Side Plate,1029,User Number,,513.5856108182137,494.04931639322604,,10,6,White,,,,,,,,,,-12,left,386,Bold Italic 02,1,,,,
"TT-R230 2005-2012,2015-2018",,Right Side Plate,1029,User Flag,,204.4059084719275,280.1479715626449,0.4,10,3,,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Left Side Plate,1028,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Air Box,1031,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Left Air Box,1030,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Rear Fender,1024,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Rear Fender,1024,User Number,,438.7421372763685,333.45260859412554,,0,5,White,,,,,,,,,,-18,left,86,Bold Italic 02,1,,,,
"TT-R230 2005-2012,2015-2018",,Right Side Plate,1029,Designer Added Icon 1,,449.6593418250591,194.98267544211143,6.9,-147,4,Yamaha Blue,7153,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Air Box,1031,Designer Added Icon 1,,347.51042957129954,9.61087361625028,19.1,16,3,Yamaha Blue,8905,,,,,,,,,,,,,,,,1,
"TT-R230 2005-2012,2015-2018",,Left Air Box,1030,Designer Added Icon 1,,457.4345704287005,9.61087361625028,19.1,-16,3,Yamaha Blue,8905,,,,,,,,,,,,,,,1,1,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 1,,563.6777109275243,711.9161386894243,24.99999999999997,-2,4,Black,8905,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 2,,766.5266828901412,713.4413189297447,2.5999999999999983,-168,5,Yamaha Blue,7153,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 3,,870.2389392319302,611.2542428282761,15,2,6,Yamaha Blue,6116,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Rear Fender,1024,Designer Added Icon 1,,442.43546573974777,322.9269188439548,11.62993263588626,0,4,Yamaha Blue,8489,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 4,,1112.7425974428782,351.9736019738035,3.6,80,3,White,7087,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 5,,1175.2749872960158,364.1750438963669,2.7,0,7,,255,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Right Shroud,1027,Designer Added Icon 6,,1132.5699405670437,364.1750438963669,4.000000000000006,0,2,White,6117,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 1,,897.5420460115525,710.39897896769,24.99999999999997,3,4,Black,8905,,,,,,,,,,,,,,,1,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 2,,679.5214768315931,717.9927980949475,2.5999999999999983,169,5,Yamaha Blue,7153,,,,,,,,,,,,,,,1,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 3,,574.2920607680697,611.2542428282761,15,-1,6,Yamaha Blue,6116,,,,,,,,,,,,,,,1,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 4,,333.30556227885603,338.3191644781953,3.6,-79,3,White,7087,,,,,,,,,,,,,,,1,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 5,,243.46429743450207,371.76084250503817,2.7,0,7,,255,,,,,,,,,,,,,,,,,
"TT-R230 2005-2012,2015-2018",,Left Shroud,1026,Designer Added Icon 6,,311.9610594329563,364.1750438963669,4.000000000000006,0,2,White,6117,,,,,,,,,,,,,,,1,,
"TT-R230 2005-2012,2015-2018",,Front Number Plate,1025,Designer Added Icon 1,,697.327537474886,571.8557862216682,3.3,-34,5,White,6115,,,,,,,,,,,,,,,,,
