type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TT-R50E 2018,,Front Fender,985,Background,,0,0,1,0,2,Yamaha Blue,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Upper Fork Cover,995,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Left Upper Fork Cover,995,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Front Number Plate,986,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Front Number Plate,986,User Name,,213.7515612290071,62.621445927903885,,0,4,White,,,,,,,,,,-10,left,58,Bold Italic 03,1,,,,
TT-R50E 2018,,Front Number Plate,986,User Number,,310.0883188071815,192.33434115662988,,0,6,Black,,,,,,,,,,-15,left,248,Bold Italic 02,1,,,,
TT-R50E 2018,,Front Number Plate,986,User Flag,,116.26297398812451,79.15415171105333,0.3,0,5,,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Shroud,988,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Left Shroud,987,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Side Plate,990,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Side Plate,990,User Name,,680.9900318606375,192.9891866553002,,22,4,White,,,,,,,,,,-9,left,74,Bold Italic 03,1,,,,
TT-R50E 2018,,Right Side Plate,990,User Number,,405.8425873387695,304.86348614232764,,20,6,Black,,,,,,,,,,-15,left,250,Bold Italic 02,1,,,,
TT-R50E 2018,,Right Side Plate,990,User Flag,,557.5699403706451,168.82430145589325,0.3,22,5,,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Left Side Plate,989,Background,,0,0,1,0,5,White,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Air Box,991,Background,,0,0,1,0,2,Black,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Rear Fender,992,Background,,0,0,1,0,1,Yamaha Blue,,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Side Plate,990,Designer Added Icon 1,,576.5745311729603,257.5230206230228,7.9,-138,3,Black,8460,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Right Side Plate,990,Designer Added Icon 2,,378.05788180305655,125.47800950367511,4.7,-150,2,Light Olive,7153,,,,,,,,,,,,,,,,,
TT-R50E 2018,,Left Side Plate,989,User Name,,379.6483612700766,68.8745476634544,,-11,10,White,,,,,,,,,,-9,left,74,Bold Italic 03,1,,,,
TT-R50E 2018,,Left Side Plate,989,User Number,,585.3482693451939,238.8660193768223,,-17,9,Black,,,,,,,,,,-15,left,250,Bold Italic 02,1,,,,
