type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250 2005,,Right Lower Fork Cover,1115,Background,,0,0,1,0,2,Yamaha Blue,,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 1,,143.697529,1029.220626,5.9,38,8,White,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 2,,248.05535700000004,586.2435256212111,4.7,90,10,,6705,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 3,,371.88286570144635,144.63041162121112,4,38,7,Yamaha Blue,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 4,,182.65670329855385,952.4601908154264,5.4,38,3,Blue,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 5,,248.0664108009642,486.2287484221752,5.3,-90,4,Blue,7486,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Lower Fork Cover,1115,Designer Added Icon 6,,170.31478449758959,997.606033118801,5.9,38,9,White,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Left Lower Fork Cover,1114,Background,,0,0,1,0,3,Yamaha Blue,,,,,,,,,,,,,,,,,,
YZ250 2005,X,Left Lower Fork Cover,1114,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250 2005,X,Left Lower Fork Cover,1114,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250 2005,,Front Fender,2596,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Target Logo,,179.768469,377.280691,3.4,68,18,,,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 1,,620.531159,907.328515,1,19,9,Yamaha Blue,7324,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 2,,293.319733,999.145729,1.4,73,13,,6102,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 3,,109.218275,493.435578,14.2,95,4,Blue,6976,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 4,,938.029156,493.329472,14.2,-95,5,Blue,6975,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 5,,427.438139,903.081665,1,-19,10,Yamaha Blue,7325,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 6,,859.985755,386.327924,3.4,-68,19,,663,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 7,,523.85916,1055.221436,4.3,90,11,Yamaha Blue,7486,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 8,,1052.235524,142.951928,3.6,85,17,Blue,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Front Fender,2596,Designer Added Icon 9,,-16.027806,244.353955,3.6,-85,15,Blue,6115,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Upper Fork Cover,1137,Background,,0,0,1,0,2,Yamaha Blue,,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Upper Fork Cover,1137,Designer Added Icon 1,,208.9677449063594,462.9300747791719,5,38,5,Yamaha Blue,7483,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Upper Fork Cover,1137,Designer Added Icon 2,,190.7956909629532,342.88488961843757,4,90,9,Orange,103,,,,,,,,,,,,,,,,,
YZ250 2005,,Right Upper Fork Cover,1137,Designer Added Icon 3,,189.09464924387504,178.80724280921876,5.3,90,3,Blue,7486,,,,,,,,,,,,,,,,,
