type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250F 2005,,Right Lower Fork Cover,2708,Background,,0,0,1,0,1,Turquoise,,,,,,,,,,,,,,,,,,
YZ250F 2005,,Right Lower Fork Cover,2708,Designer Added Icon 1,,220.76349230479988,271.45598619318,4.6,-126,2,Dark Grey,7153,,,,,,,,,,,,,,,,,
YZ250F 2005,,Right Lower Fork Cover,2708,Designer Added Icon 2,,246.04553810838763,866.1099531972204,2.6999999999999997,0,4,,119,,,,,,,,,,,,,,,,,
YZ250F 2005,,Right Lower Fork Cover,2708,Designer Added Icon 3,,221.06019205053067,95.6998934710984,0.9,0,5,,7115,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Right Lower Fork Cover,2708,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2005,,Right Lower Fork Cover,2708,Designer Added Icon 5,,249.3169298557345,211.42366281010604,5.699999999999996,0,3,Dark Navy Blue,8410,,,,,,,,,,,,,,,,,
YZ250F 2005,,Right Lower Fork Cover,2708,Designer Added Icon 6,,73.63182713774714,406.42861966664856,2.0000000000000004,96,8,White,69,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Right Lower Fork Cover,2708,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2005,,Left Lower Fork Cover,2707,Background,,0,0,1,0,1,Turquoise,,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Left Lower Fork Cover,2707,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250F 2005,,Left Lower Fork Cover,2707,Designer Added Icon 2,,448.2950303565695,393.13663475074094,1.9547527052963751,-93,8,White,69,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Left Lower Fork Cover,2707,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250F 2005,,Front Fender,4211,Background,,0,0,1,0,1,Dark Grey,,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Front Fender,4211,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Front Fender,4211,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2005,,Front Fender,4211,Designer Added Icon 2,,410.69591780854387,1053.2924052348758,0.8999999999999984,76,14,,6102,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Front Fender,4211,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2005,,Front Fender,4211,Designer Added Icon 4,,575.6220774077462,634.9408212910091,9.4,0,4,Dark Navy Blue,8456,,,,,,,,,,,,,,,,,
YZ250F 2005,X,Front Fender,4211,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,
