type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Designer Added Icon 1,,109.94411986188125,578.0491762542086,4.2,90,7,Yellow,844,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Designer Added Icon 2,,240.04290686188125,485.84720282326805,5.7,90,8,,65,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Designer Added Icon 3,,396.83843329282183,638.0507869613867,3.5,90,2,Yellow,38,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Designer Added Icon 4,,-167.42311095024715,197.17816894480254,9.699,-25,3,Blue,6115,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Lower Fork Cover,2708,Designer Added Icon 5,,123.8471515856437,-37.74355546955381,6,-25,4,Black,8543,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Left Lower Fork Cover,2707,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,X,Left Lower Fork Cover,2707,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,X,Left Lower Fork Cover,2707,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 1,,389.096711,465.462215,7.4,-110,12,Blue,6117,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 2,,578.518028,1251.60402,1.7,90,18,,6102,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 3,,61.476955,958.630041,6.3,46,3,Black,8543,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 4,,1147.103457,952.980416,6.9,-46,4,Black,8543,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 5,,768.424882,463.783567,7.4,110,13,Blue,6117,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 6,,578.259,537.098093,4.7,90,19,White,2640,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 7,,577.891899,843.59086,1.5,-11,16,Blue,6117,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 8,,578.746508,658.693129,7.6,90,8,Blue,6117,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Front Fender,4252,Designer Added Icon 9,,578.3503,1264.412708,6,90,15,White,6117,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Upper Fork Cover,1235,Background,,0,0,1,0,1,Blue,,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Upper Fork Cover,1235,Designer Added Icon 1,,122.94802923155396,302.900739905939,2.6,90,6,Black,6554,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Upper Fork Cover,1235,Designer Added Icon 2,,333.7312224645472,802.1486335571688,4.8,-25,2,Black,8543,,,,,,,,,,,,,,,,,
YZ250F 2006-2007,,Right Upper Fork Cover,1235,Designer Added Icon 3,,189.72757323155392,41.94169023155391,0.8,0,4,,7115,,,,,,,,,,,,,,,,,
