type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250F 60th Anniversary Edition 2016,,Right Lower Fork Cover,9048,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Lower Fork Cover,9048,Designer Added Icon 1,,165.6710724,58.04839699,8.537,98,8,White,6554,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Lower Fork Cover,9048,Designer Added Icon 2,,192.8718378,870.5059577,1,0,9,,7115,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Lower Fork Cover,9048,Designer Added Icon 3,,138.2749473,348.871378,9.699,0,5,Blue,8553,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Lower Fork Cover,9048,Designer Added Icon 4,,60.76250861,431.3201971,6.951,0,6,Blue,8552,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Lower Fork Cover,9049,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Left Lower Fork Cover,9049,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Left Lower Fork Cover,9049,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Front Fender,9045,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Fender,9045,Designer Added Icon 1,,511.382865,1465.503498,0.8,0,18,,6102,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Fender,9045,Designer Added Icon 2,,510.027196,874.877739,10.6,0,13,Dark Yellow,8556,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Fender,9045,Designer Added Icon 3,,513.0015,1161.600342,5.1,0,3,White,8557,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Upper Fork Cover,10795,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Upper Fork Cover,10795,Designer Added Icon 1,,234.7724189,320.1574014,4.7,0,6,Blue,8554,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Upper Fork Cover,10795,Designer Added Icon 2,,-18.40571507,287.4795351,3.6,0,7,Blue,8555,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Upper Fork Cover,10795,Designer Added Icon 3,,130.4267744,694.2870315,8.475,98,11,White,6554,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Upper Fork Cover,10795,Background,,0,0,1,0,5,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Left Upper Fork Cover,10795,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,X,Left Upper Fork Cover,10795,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,Corporate Logo,,405.3199075,673.4053652,0.9,0,29,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,User Name,,596.007211,163.1619697,,0,27,White,,,,,,,,,,-9,left,57,Bold Italic 02,1,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,User Number,,409.270818,284.5669132,,0,30,White,,,,,,,,,,-16,left,409,Bold Italic 02,1,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,User Flag,,693.9599864,179.1155645,0.3,0,25,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,Designer Added Icon 1,,408.3434268,198.9752365,6.3,0,6,White,8559,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Front Number Plate,9043,Designer Added Icon 2,,408.011976,560.8154105,6.3,0,28,Dark Yellow,8558,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Shroud,9035,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Shroud,9035,Designer Added Icon 1,,1251.049302,651.037933,14,0,3,Dark Yellow,8562,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Shroud,9035,Designer Added Icon 2,,1549.692093,346.300391,11.4,0,2,White,8563,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Shroud,9035,Designer Added Icon 3,,302.299754,612.437844,5.2,45,4,Black,6115,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Shroud,9035,Designer Added Icon 4,,1732.534618,484.448077,8,2,5,Black,6732,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Shroud,9036,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Shroud,9036,Designer Added Icon 1,,934.128698,651.037933,14,1,3,Dark Yellow,8562,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Shroud,9036,Designer Added Icon 2,,635.485907,342.237224,11.4,1,2,White,8563,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Shroud,9036,Designer Added Icon 3,,1882.878246,612.437844,5.2,-44,4,Black,6115,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Shroud,9036,Designer Added Icon 4,,536.249483,468.127101,8,-2,5,Black,6732,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Side Plate,10234,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Side Plate,10234,User Number,,489.567826,412.359649,,20,31,White,,,,,,,,,,-17,left,450,Bold Italic 02,1,,,,
YZ250F 60th Anniversary Edition 2016,,Right Side Plate,10234,Designer Added Icon 1,,827.989828,503.270186,11.3,0,6,Black,8564,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Side Plate,10234,Designer Added Icon 2,,951.152099,246.634839,4.3,45,4,Dark Yellow,7486,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Right Side Plate,10234,Designer Added Icon 3,,593.359486,538.003772,11.5,7,3,White,8432,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Side Plate,10235,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Side Plate,10235,User Number,,925.357377,337.516723,,-16,29,White,,,,,,,,,,-17,left,450,Bold Italic 02,1,,,,
YZ250F 60th Anniversary Edition 2016,,Left Side Plate,10235,Designer Added Icon 1,,581.68324,471.757375,11.3,4,6,Black,8564,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Side Plate,10235,Designer Added Icon 2,,455.894901,246.634839,4.3,-41,4,Dark Yellow,7486,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Side Plate,10235,Designer Added Icon 3,,776.922568,553.760178,11.5,-3,3,White,8432,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Right Air Box,9039,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Air Box,9040,Background,,0,0,1,0,3,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Corporate Logo,,436.237419,872.793033,1.4,90,20,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Designer Added Icon 1,,436.001395,543.164147,0.6,0,16,,8624,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Designer Added Icon 2,,448.452429,270.300635,1.5,0,15,Black,6732,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Designer Added Icon 3,,434.849017,390.802631,1,0,12,Black,7241,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Designer Added Icon 4,,434.507686,180.471622,2,0,21,Black,132,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Rear Fender,9044,Designer Added Icon 5,,436.237419,1025.402062,6.7,0,4,Black,8560,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Swing Arm,9046,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Swing Arm,9046,Designer Added Icon 1,,311.865428,92.192889,3.1,0,5,White,6139,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Swing Arm,9046,Designer Added Icon 2,,1243.757377,128.342163,16.633,-1,3,White,6985,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Right Swing Arm,9046,Designer Added Icon 3,,1101.026072,82.171574,2.5,0,6,,182,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Swing Arm,9047,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Swing Arm,9047,Designer Added Icon 1,,1043.876572,85.867105,3.1,0,5,White,6139,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Swing Arm,9047,Designer Added Icon 2,,111.984623,128.342163,16.633,1,3,White,6985,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Swing Arm,9047,Designer Added Icon 3,,209.224607,87.232201,2.5,0,6,,182,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Top Tank,10224,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Top Tank,10224,Designer Added Icon 1,,581.119188,189.629674,1.7,0,2,White,6654,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Lower Fork Cover,9049,Designer Added Icon 3,,238.9889276,58.04839699,8.537,-98,7,White,6554,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Lower Fork Cover,9049,Designer Added Icon 4,,211.7881622,870.5059577,1,0,8,,7115,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,,Left Lower Fork Cover,9049,Designer Added Icon 5,,266.3850527,348.871378,9.699,0,4,Blue,8553,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Lower Fork Cover,9049,Designer Added Icon 6,,343.8974914,431.3201971,6.951,0,6,Blue,8552,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Upper Fork Cover,10795,Designer Added Icon 3,,52.49858107,320.1574014,4.7,0,6,Blue,8554,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Upper Fork Cover,10795,Designer Added Icon 4,,305.6767151,287.4795351,3.6,0,7,Blue,8555,,,,,,,,,,,,,,,1,,
YZ250F 60th Anniversary Edition 2016,,Left Upper Fork Cover,10795,Designer Added Icon 5,,156.8442256,694.2870315,8.475,-98,11,White,6554,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,User State,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Front Number Plate,9043,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,User State,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,User Name,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Designer Added Text 1,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,
YZ250F 60th Anniversary Edition 2016,X,Right Side Plate,10234,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,
