type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Designer Added Icon 1,,56.30158,853.585391,2.5,45,4,Black,6115,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Designer Added Icon 2,,178.055275,566.485671,3,46,9,White,7194,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Designer Added Icon 3,,190.430481,872.134899,1,0,7,,7115,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Designer Added Icon 4,,223.545263,532.261618,5.3,0,6,Black,8437,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Lower Fork Cover,9048,Designer Added Icon 5,,263.842105,937.558516,1.9,0,3,Black,6115,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Designer Added Icon 1,,348.35842,853.585391,2.5,-45,4,Black,6115,,,,,,,,,,,,,,,1,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Designer Added Icon 2,,226.604725,566.485671,3,-46,9,White,7194,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Designer Added Icon 3,,214.229519,872.134899,1,0,7,,7115,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Designer Added Icon 4,,181.114737,532.261618,5.3,0,6,Black,8437,,,,,,,,,,,,,,,1,,
YZ250FX 2015-2017,,Left Lower Fork Cover,9049,Designer Added Icon 5,,140.817895,937.558516,1.9,0,3,Black,6115,,,,,,,,,,,,,,,1,,
YZ250FX 2015-2017,,Front Fender,9045,Background,,0,0,1,0,3,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Fender,9045,Designer Added Icon 1,,511.960945,880.48271,10.5,0,7,Black,8438,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Fender,9045,Designer Added Icon 2,,120.094259,450.444566,0.9,3,15,Black,6654,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Fender,9045,Designer Added Icon 3,,908.950718,453.243708,0.9,0,16,Black,6654,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,Corporate Logo,,212.49913,683.08673,1.1,37,30,,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,User Name,,255.966558,130.763586,,0,29,Black,,,,,,,,,,-6,left,81,Bold Italic 02,1,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,User Number,,405.660328,269.195357,,0,31,Black,,White,,,,3,,,,-15,left,454,Bold Italic 02,1,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,User Flag,,121.177829,157.831608,0.3,0,28,,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,Designer Added Icon 1,,410.177877,705.77076,1,0,23,,7400,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Front Number Plate,9043,Designer Added Icon 2,,410.131218,601.380175,5.9,0,4,Black,8413,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 1,,860.193325,457.032806,2.7,3,8,Black,2640,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 2,,1863.998047,308.063173,5.7,82,3,Black,7087,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 3,,988.279364,835.721966,5.7,-98,4,Black,7087,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 4,,1499.231283,1076.57941,1.4,3,5,,2342,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 5,,1506.19248,1009.751911,1.7,3,6,Black,7194,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Right Shroud,9035,Designer Added Icon 6,,1944.747942,732.696239,1.7,105,7,Black,7087,,,,,,,,,,,,,,,1,,
YZ250FX 2015-2017,,Left Shroud,9036,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Shroud,9036,Designer Added Icon 1,,1324.980675,457.032806,2.7,-3,25,Black,2640,,,,,,,,,,,,,,,,,
YZ250FX 2015-2017,,Left Shroud,9036,Designer Added Icon 2,,321.175953,308.063173,5.7,-82,3,Black,7087,,,,,,,,,,,,,,,1,,
