type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ250X 2016-2018,,Right Lower Fork Cover,10793,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Lower Fork Cover,10793,Designer Added Icon 1,,154.35189699999998,842.252779,0.9,0,5,,7115,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Lower Fork Cover,10793,Designer Added Icon 2,,17.507384,482.676897,7.297,0,2,Dark Grey,8552,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Lower Fork Cover,10793,Designer Added Icon 3,,119.983027,127.938085,10.164,98,3,Red,6554,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Lower Fork Cover,10793,Designer Added Icon 4,,107.185605,489.030816,7.262,0,4,White,8553,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Lower Fork Cover,10794,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Lower Fork Cover,10794,Designer Added Icon 1,,185.390103,842.252779,0.9,0,5,,7115,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Lower Fork Cover,10794,Designer Added Icon 2,,322.234616,482.676897,7.297,0,2,Dark Grey,8552,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Left Lower Fork Cover,10794,Designer Added Icon 3,,222.45056,145.4334,10.164,-98,3,Red,6554,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Lower Fork Cover,10794,Designer Added Icon 4,,232.556395,489.030816,7.262,0,4,White,8553,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Front Fender,10791,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Fender,10791,Designer Added Icon 1,,100.465121,437.926086,1.4,60,4,,6102,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Fender,10791,Designer Added Icon 2,,579.792417,927.744364,8.7,0,2,Racing Blue,8557,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Fender,10791,Designer Added Icon 3,,581.800308,921.720691,8.667,0,3,Dark Grey,8556,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Upper Fork Cover,10795,Background,,0,0,1,0,4,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Upper Fork Cover,10795,Designer Added Icon 1,,228.405119,304.765284,4.427,0,7,Dark Grey,8554,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Upper Fork Cover,10795,Designer Added Icon 2,,-38.247503,359.022087,4.4,0,8,White,8555,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Upper Fork Cover,10795,Designer Added Icon 3,,100.163877,826.171339,10.201,-82,10,Red,6554,,,,,,,,,,,,,,,1,1,
YZ250X 2016-2018,,Left Upper Fork Cover,10795,Background,,0,0,1,0,6,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Upper Fork Cover,10795,Designer Added Icon 1,,58.865881,304.765284,4.427,0,7,Dark Grey,8554,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Left Upper Fork Cover,10795,Designer Added Icon 2,,325.518503,359.022087,4.4,0,8,White,8555,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Left Upper Fork Cover,10795,Designer Added Icon 3,,187.107123,826.171339,10.201,82,10,Red,6554,,,,,,,,,,,,,,,1,1,
YZ250X 2016-2018,,Front Number Plate,10798,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Number Plate,10798,Corporate Logo,,422.821802,675.913017,1.3,0,6,,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Number Plate,10798,User Name,,545.38889,146.337154,,0,5,Orange,,Red,,,,10,,,,-9,left,92,Bold Italic 02,1,,,,
YZ250X 2016-2018,,Front Number Plate,10798,User Number,,398.4203119999999,291.589311,,0,7,Red,,,,,,,,,,-16,left,417,Bold Italic 02,1,,,,
YZ250X 2016-2018,,Front Number Plate,10798,User Flag,,705.225284,175.641898,0.4,0,4,,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Number Plate,10798,Designer Added Icon 1,,416.637259,557.29394,6,0,2,Dark Grey,8558,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Front Number Plate,10798,Designer Added Icon 2,,416.637259,203.619484,6,0,3,Racing Blue,8559,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Radiator Cooling Fins,10797,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Radiator Cooling Fins,10797,Designer Added Icon 1,,234.307379,343.237131,1.9,0,2,,6663,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Radiator Cooling Fins,10796,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Radiator Cooling Fins,10796,Designer Added Icon 1,,276.831658,334.518149,2.2,0,2,White,7241,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Shroud,10802,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Shroud,10802,Designer Added Icon 1,,850.875513,773.665683,12.6,0,3,Dark Grey,8562,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Shroud,10802,Designer Added Icon 2,,1181.386152,477.09938,9.8,0,2,Racing Blue,8563,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Shroud,10802,Designer Added Icon 3,,1140.29564,664.686499,7.383,2,4,White,7268,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Shroud,10807,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Shroud,10807,Designer Added Icon 1,,869.563487,773.665683,12.6,0,3,Dark Grey,8562,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Left Shroud,10807,Designer Added Icon 2,,539.052848,477.09938,9.8,0,2,Racing Blue,8563,,,,,,,,,,,,,,,1,,
YZ250X 2016-2018,,Left Shroud,10807,Designer Added Icon 3,,585.505327,668.261144,7.383,-2,4,White,7268,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Right Tank,10803,Background,,0,0,1,0,4,Yamaha Blue,,,,,,,,,,,,,,,,,,
YZ250X 2016-2018,,Left Tank,10808,Background,,0,0,1,0,4,Yamaha Blue,,,,,,,,,,,,,,,,,,
