type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
YZ450F (Blue) 2014-2017,,Right Lower Fork Cover,9048,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Lower Fork Cover,9048,Designer Added Icon 1,,181.486918,868.781063,0.9,0,8,,7115,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Lower Fork Cover,9048,Designer Added Icon 2,,190.82252,272.222716,3.2,90,9,Red,7194,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Lower Fork Cover,9048,Designer Added Icon 3,,230.252935,693.245752,4,-115,5,Sky Blue,8277,,,,,,,,,,,,,,,,1,
YZ450F (Blue) 2014-2017,,Left Lower Fork Cover,9049,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Lower Fork Cover,9049,Designer Added Icon 1,,223.173082,862.087936,0.9,0,7,,7115,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Lower Fork Cover,9049,Designer Added Icon 2,,193.758098,452.937151,3.2,-90,9,Red,7194,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Lower Fork Cover,9049,Designer Added Icon 3,,179.984671,687.668146,4,115,5,Sky Blue,8277,,,,,,,,,,,,,,,1,1,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Background,,0,0,1,0,2,Light Olive,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 1,,448.58408,1056.650171,1.958,66,4,Lime Green,7316,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 2,,508.916502,646.98111,1.7,90,18,,6102,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 3,,-63.12326,120.336316,3.4,146,8,Lime Green,7336,,,,,,,,,,,,,,,1,1,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 4,,1090.414394,122.941505,3.4,34,9,Lime Green,7335,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 5,,525.764119,718.045639,13.461,90,12,White,6116,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 6,,511.994514,1307.124365,4.7,0,10,White,8016,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 7,,587.648273,123.523361,2.4,117,13,Dark Red,8277,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 8,,306.345524,1302.902281,1.3,78,19,Red,7167,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 9,,724.49033,1302.119668,1.5,-79,17,Red,7194,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 10,,573.951153,1059.471609,2,-66,7,Lime Green,7316,,,,,,,,,,,,,,,1,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 11,,496.241623,772.711191,13.5,-90,15,White,6116,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 12,,416.477909,156.26705,2.952,61,6,White,6117,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 13,,513.079834,322.046615,4.6,180,3,Red,6113,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 14,,610.433463,142.027604,3,119,14,White,6117,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Fender,9045,Designer Added Icon 15,,439.305783,125.614586,2.4,-115,5,Dark Red,8277,,,,,,,,,,,,,,,1,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 1,,119.004657,11.031714,4.3,-36,6,Light Olive,7486,,,,,,,,,,,,,,,,1,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 2,,138.58153,172.753386,2.3,-36,7,Lime Green,7167,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 3,,141.029532,42.509952,0.6,0,8,,7115,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 4,,145.551665,531.080752,1.7,0,15,,6644,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 5,,229.145018,235.609998,1.6,-65,3,Racing Blue,8277,,,,,,,,,,,,,,,1,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 6,,155.930792,137.525312,3.8,-36,4,Racing Blue,7486,,,,,,,,,,,,,,,,1,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 7,,142.738352,231.329857,3.4,-36,10,Light Olive,6116,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Upper Fork Cover,10795,Designer Added Icon 8,,138.759661,227.351166,3.4,-36,11,Lime Green,6116,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Background,,0,0,1,0,2,White,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 1,,172.304981,15.968503,4.3,36,5,Light Olive,7486,,,,,,,,,,,,,,,1,1,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 2,,141.444018,172.753386,2.3,36,6,Lime Green,7167,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 3,,145.343316,42.509952,0.6,0,7,,7115,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 4,,145.052717,534.60703,1.7,0,11,,6644,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 5,,57.933086,240.546787,1.6,65,3,Racing Blue,8277,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 6,,126.210523,138.935823,3.8,36,4,Racing Blue,7486,,,,,,,,,,,,,,,1,1,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 7,,117.540039,215.108978,3.4,36,9,Light Olive,6116,,,,,,,,,,,,,,,1,,
YZ450F (Blue) 2014-2017,,Left Upper Fork Cover,10795,Designer Added Icon 8,,116.58194,207.604009,3.4,36,10,Lime Green,6116,,,,,,,,,,,,,,,1,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Background,,0,0,1,0,2,Red,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Corporate Logo,,409.270818,47.640546,0.9,0,18,,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,User Name,,571.884405,130.763586,,0,13,Black,,,,,,,,,,-6,left,74,Bold Italic 02,1,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,User Number,,402.952461,264.682245,,0,30,White,,,,,,,,,,-16,left,432,Bold Italic 02,1,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,User Flag,,703.369291,154.772746,0.3,0,11,,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 1,,51.259264,778.667314,6.4,39,10,White,6115,,,,,,,,,,,,,,,,1,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 2,,777.297881,773.057019,6.4,-39,9,White,6115,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 3,,62.576931,668.022278,1.9,-142,23,Racing Blue,8277,,,,,,,,,,,,,,,1,1,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 4,,548.122671,651.704895,3.1,52,5,White,8020,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 5,,277.460393,656.380615,3.1,-52,4,White,8019,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 6,,757.64085,669.076857,1.9,142,22,Racing Blue,8277,,,,,,,,,,,,,,,,1,
YZ450F (Blue) 2014-2017,,Front Number Plate,9043,Designer Added Icon 7,,410.985178,665.163041,1,0,15,,7400,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Shroud,9035,Background,,0,0,1,0,2,Lime Green,,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Shroud,9035,Designer Added Icon 1,,904.744991,39.360938,15.4,-20,10,Light Olive,7486,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Shroud,9035,Designer Added Icon 2,,1308.494463,513.303141,10.8,2,7,Light Olive,6116,,,,,,,,,,,,,,,,,
YZ450F (Blue) 2014-2017,,Right Shroud,9035,Designer Added Icon 3,,1478.347689,827.368529,5.4,-176,8,Light Olive,6984,,,,,,,,,,,,,,,,,
