type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FC 350 2014,,Right Lower Fork Cover,10132,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
FC 350 2014,,Left Lower Fork Cover,10133,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
FC 350 2014,,Left Lower Fork Cover,10133,Designer Added Icon 1,,349.451768,411.549964,10.061,-90,4,Black,7488,,,,,,,,,,,,,,,1,,
FC 350 2014,,Left Lower Fork Cover,10133,Designer Added Icon 2,,362.638538,721.366437,3.7,45,3,Dark Grey,8279,,,,,,,,,,,,,,,1,,
FC 350 2014,,Left Lower Fork Cover,10133,Designer Added Icon 3,,349.0203430000001,476.19338068641883,6.2,90,7,Orange,7194,,,,,,,,,,,,,,,,,
FC 350 2014,,Left Lower Fork Cover,10133,Designer Added Icon 4,,106.24798099999998,492.59987900000004,2.7,90,8,,251,,,,,,,,,,,,,,,,,
FC 350 2014,,Left Lower Fork Cover,10133,Designer Added Icon 5,,745.694599,364.760929,3.7,45,2,Dark Grey,8279,,,,,,,,,,,,,,,1,,
FC 350 2014,,Front Fender,10134,Background,,0,0,1,0,1,Black,,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 1,,309.99547799999993,843.6078860000001,2.3,72,17,Orange,7268,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 2,,574.5815670000001,1151.252767,1.5,90,18,,6102,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 3,,314.934226,811.522446,4.6,-135,2,Dark Grey,8279,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 4,,837.908959,816.864703,4.6,-45,3,Dark Grey,8279,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 5,,842.6158409999999,841.1455071559318,2.3,-72,16,Orange,7268,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Fender,10134,Designer Added Icon 6,,575.32685,792.046501,9.514,90,4,Black,7486,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Background,,0,0,1,0,1,White,,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Corporate Logo,,197.31566514429107,174.10381576537011,0.9,0,29,,,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,User Name,,607.4450961442911,149.8104320539523,,0,31,Black,,,,,,,,,,-9,left,79,Bold Italic 02,1,,,,
FC 350 2014,,Front Number Plate,10138,User Number,,396.91359155708915,280.2642398996236,,0,32,Blue,,,,,,,,,,-16,left,420,Bold Italic 02,1,,,,
FC 350 2014,,Front Number Plate,10138,User Flag,,734.995899,174.93403590966122,0.3,0,30,,,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 1,,786.5691831342535,406.8337536110414,2.5,-48,5,Black,6115,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 2,,36.185102959849424,426.7278564968632,2.5,48,4,Black,6115,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 3,,120.89634681555833,627.066856476788,4,43,9,Black,6115,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 4,,679.9744261041404,637.0139079196988,4,-43,8,Black,6115,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 5,,593.2737719598495,568.7556263425345,1.3,-2,7,,7329,,,,,,,,,,,,,,,,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 6,,155.35471335257216,525.294406446675,1.3,2,6,,7329,,,,,,,,,,,,,,,1,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 7,,272.6879577013802,605.6662878055207,1.3,22,3,,7329,,,,,,,,,,,,,,,1,,
FC 350 2014,,Front Number Plate,10138,Designer Added Icon 8,,558.8354642885822,579.7780357252196,1.3,-22,2,,7329,,,,,,,,,,,,,,,,,
