colour_id,display_name,display_colour,display_rgb,print_cmyk,colour_group,group_default,contrasting_colour,complementary_colours
1,Hot Pink,Y,#FF69B4,0_0.73_0_0,Pink,,2,2
2,Purple,Y,#88109B,0.58_0.99_0_0,Purple,Y,41,112 | 77 | 71 | 98
3,White,Y,#FFFFFF,0_0_0_0,White,Y,7,3
4,Aluminium,Y,#BCBDC7,0.20_0.12_0.13_0,Grey,,7,109 | 5 | 78 | 3
5,Dark Grey,Y,#5D5B58,0.67_0.60_0.59_0.12,Grey,,3,7 | 4 | 69
6,Light Beige,Y,#F0E7B4,0.06_0.06_0.31_0,Beige,,15,78 | 3 | 79 | 11
7,Black,Y,#000000,0_0_0_1,Black,Y,3,5
8,Yellow,Y,#FFFF00,0_0_1_0,Yellow,Y,1495,9 | 10 | 11
9,Dark Gold,Y,#AC9E0E,0.13_0.13_0.98_0.22,Yellow,,15,13 | 96 | 15
10,Very Light Yellow,Y,#E5EA56,0.12_0.01_0.73_0,Yellow,,51,8 | 51 | 77 | 9
11,Very Light Purple,Y,#A067B7,0.44_0.59_0_0,Purple,,90,51 | 79 | 71 | 90
12,Light Gold,Y,#FDB91D,0_0.30_0.97_0.01,Yellow,,15,13 | 96 | 15
13,Very Dark Gold,Y,#8B8124,0.21_0.20_0.95_0.31,Yellow,,15,9 | 56 | 15
14,Very Dark Amber,Y,#DCAD11,0.15_0.30_0.99_0,Yellow,,59,56 | 30 | 60 | 61
15,Blue,Y,#0079C2,0.85_0.47_0_0,Blue,,17,17 | 63 | 125 | 55
16,Light Navy Blue,Y,#0048B1,0.96_0.79_0_0,Blue,,54,19 | 30 | 54 | 84
17,Marigold,Y,#FFA500,0_0.35_1_0,Orange,,125,12 | 10 | 84 | 125
18,Navy Blue,Y,#00376C,0.99_0.85_0.31_0.18,Blue,,97,97 | 89 | 7 | 61
19,Light Blue,Y,#0080FF,0.80_0.35_0_0,Blue,Y,17,29 | 97 | 15 | 63
20,Salmon Pink,Y,#F84583,0_0.87_0.19_0,Pink,,113,21 | 22 | 23 | 24
21,Light Green,Y,#56BE4F,0.61_0_0.85_0,Green,,47,22 | 113 | 88 | 82
22,Forest Green,Y,#1CAC33,0.72_0.01_0.98_0.02,Green,,47,21 | 27 | 45 | 88
23,Light Salmon Pink,Y,#ED8E99,0.02_0.50_0.20_0,Pink,,21,43 | 128 | 63 | 24
24,Pink,Y,#F960B5,0.01_0.75_0.01_0,Pink,Y,21,88 | 20 | 21
25,Green,Y,#008B39,1_0_1_0,Green,,38,40 | 88 | 128 | 113
26,Dark Salmon Pink,Y,#FC6883,0_0.66_0.26_0,Pink,,22,23 | 20 | 22 | 27
27,Light Forest Green,Y,#4CA01B,0.62_0.03_0.99_0.11,Green,,74,1495 | 77 | 98 | 22
28,Orange,Y,#FF8000,0_0.61_1_0,Orange,Y,19,29 | 30 | 31 | 19
29,Ochre,Y,#B2682A,0.09_0.56_0.94_0.17,Brown,,91,54 | 58 | 92 | 78
30,Golden Brown,Y,#B7860E,0.07_0.33_0.97_0.20,Brown,,61,76 | 61 | 84
31,Blue Grey,Y,#6076AB,0.65_0.47_0_0,Blue,,90,92 | 61 | 108 | 54
32,Dark Orange,Y,#F8663A,0_0.67_0.79_0,Orange,,70,113 | 128 | 35 | 29
33,Dark Emerald Green,Y,#517C67,0.71_0.31_0.59_0.10,Green,,37,35 | 83 | 128 | 7
34,Very Dark Teal,Y,#558686,0.69_0.33_0.44_0.01,Green,,29,83 | 30 | 43 | 113
35,Copper,Y,#CB834A,0.09_0.48_0.78_0.06,Brown,,92,30 | 58 | 92 | 78
36,Very Light Blue,Y,#0083D0,0.75_0.37_0_0,Blue,,28,92 | 55 | 29 | 96
37,Light Red,Y,#F8544F,0_0.76_0.63_0,Red,,113,23 | 20 | 22 | 27
38,Mail Box Red,Y,#F53021,0_0.93_0.97_0,Red,,41,22 | 27 | 39 | 40
39,Dark Red,Y,#D02324,0.02_0.94_0.95_0.06,Red,,41,64 | 117 | 21
40,Dark Burgundy,Y,#991a00,0.12_0.85_0.93_0.31,Red,,21,74 | 98 | 94 | 93
41,Very Light Green,Y,#6DBE44,0.62_0_1_0,Green,,38,113 | 21 | 1495 | 88
42,Very Dark Orange,Y,#F84B03,0_0.77_0.93_0.01,Orange,,36,29 | 32 | 43 | 103
43,Teal,Y,#01A981,0.79_0.07_0.64_0.01,Green,,28,44 | 128 | 93 | 40
44,Dark Turquoise,Y,#00A093,0.79_0.06_0.42_0.03,Green,,28,92 | 93 | 97
45,Rose,Y,#FC1F5B,0_0.97_0.50_0,Pink,,41,88 | 24 | 21 | 27
46,Light Violet,Y,#C50096,0.23_0.97_0_0,Purple,,21,88 | 113 | 22 | 51
47,Red,Y,#FF0000,0_1_1_0,Red,Y,113,21 | 27 | 74
48,Burgundy,Y,#A62222,0.09_0.91_0.89_0.21,Red,,21,93 | 94 | 95
49,Very Light Crimson,Y,#C13A38,0.05_0.90_0.83_0.09,Red,,113,23 | 74 | 22 | 27
50,Suzuki Yellow,Y,#FCDD17,0.01_0.07_0.93_0.01,Yellow,,1495,60 | 9 | 10 | 11
51,Indigo,Y,#6538A5,0.79_0.89_0_0,Purple,,10,79 | 60 | 9 | 13
